gene_name,annotation,prevalence,lr_auroc_ethionamide,n_train,n_pos,kept_filtered
chiZ,,0.952,0.5452914464544115,1898,961,False
metH,,0.9575,0.5450117831038881,1918,971,False
nit2,,0.982,0.5449966538691838,1965,986,False
mmpL1,,0.9325,0.544913586480962,1864,967,False
ctpB,,0.992,0.5447859189303904,1980,988,False
hepA,,0.8665,0.5443122099942501,1731,901,False
accE5,,0.58,0.5441901720240971,1160,523,False
mrr,,0.9985,0.5441494825156833,1995,997,False
secY,,0.9925,0.5440113930040403,1989,993,False
ispH,,0.9835,0.5439537841804928,1970,994,False
tdh,,0.9905,0.5438520504728643,1980,993,False
pdxI,,0.9925,0.5436130145677884,1985,990,False
cut5b,,0.94,0.543418005734079,1878,921,False
csa3,,0.991,0.5428912556786614,1979,992,False
pPE10,,0.895,0.5428633920759905,1789,889,False
pPE1,,0.9375,0.5428536488917436,1871,949,False
cya,,0.958,0.5427964092917987,1915,921,False
ansP1,,0.9965,0.542738845131088,1989,994,False
pPE28,,0.9885,0.5425166761812189,1972,985,False
disA,,0.996,0.5422983390849831,1991,995,False
aftD,,0.927,0.5422129434867583,1854,943,False
mfd,,0.944,0.5421040113627735,1893,964,False
icdM,,0.9975,0.5420763455833384,1991,995,False
pheS,,0.9945,0.5419241676886226,1994,997,False
eccC2,,0.582,0.5418968651356795,1164,531,False
nuoN,,0.9945,0.5418890225776771,1989,995,False
hIS2,,0.9765,0.5415146484539379,1950,966,False
murF,,0.9935,0.5414973050737559,1987,995,False
gmhB,,0.991,0.5414915553759804,1980,993,False
vapC6,,0.981,0.5414284927526896,1962,983,False
accD3,,0.9685,0.5413425936302905,1936,979,False
pncB1,,0.9545,0.541251677615314,1904,968,False
fes,,0.98,0.5411250794606711,1956,984,False
fadD32,,0.994,0.5410993113410032,1983,993,False
hisI,,0.997,0.5410942124730422,1996,998,False
eccCb1,,0.997,0.541038013820272,1991,992,False
pPE11,,0.929,0.5408601140136566,1857,939,False
mmpL7,,0.996,0.5408055764304703,1990,996,False
lpqA,,0.998,0.5406807680252368,1989,994,False
comEA,,0.989,0.5405406934404173,1972,986,False
pta,,0.9965,0.5405337498439092,1993,997,False
ftsH,,0.9515,0.5405168430548527,1907,967,False
gyrB,,0.991,0.5404726747582268,1986,992,False
fpg2,,0.9635,0.5401938303353003,1925,974,False
ino1,,0.9725,0.5398003478674536,1941,959,False
lysX2,,0.992,0.539754706194701,1983,989,False
ileS,,0.989,0.5395436458490789,1979,991,False
eccD4,,0.9665,0.5394612656920088,1928,973,False
glpR,,0.996,0.5394364177030052,1990,996,False
msbA,,0.9605,0.5393540152301834,1923,963,False
luxR,,0.8215,0.5393494786004158,1648,857,False
carB,,0.969,0.5392804862525458,1942,982,False
arfA,,0.998,0.5392508857905047,1996,997,False
bioB,,0.9925,0.5391646044927558,1988,995,False
pPE68,,0.979,0.539000244899497,1955,981,False
mmaA4,,0.997,0.5388593061028623,1994,997,False
lpqI,,0.999,0.5388100813526239,1998,999,False
mazF3,,0.998,0.5387438192968853,1993,995,False
aftA,,0.983,0.5387353922382995,1964,987,False
recF,,0.9925,0.5386726772104722,1986,991,False
moaR1,,0.9935,0.5386377308792925,1984,992,False
amyA,,0.9915,0.538605816226784,1982,992,False
prcA,,0.997,0.5385456470115281,1990,993,False
desA3,,0.99,0.5385275448912398,1980,993,False
idsA1,,0.9925,0.5382446604242247,1979,992,False
dnaX,,0.9735,0.5380783439061171,1949,981,False
mmpL8,,0.995,0.5380705017186875,1985,991,False
chp2,,0.9985,0.5379679522108534,1991,996,False
clpC,,0.992,0.5379136329502415,1980,992,False
sapM,,0.999,0.537833683398862,1996,998,False
ffh,,0.9655,0.5376344200779519,1936,974,False
adh,,0.9885,0.5374836767192152,1977,988,False
fadD17,,0.998,0.5374411625847735,1987,993,False
dacB1,,0.941,0.5370135247977441,1873,957,False
rpsA,,0.9915,0.5369532666168904,1983,989,False
hsaB,,0.9965,0.536946277572602,1991,995,False
csm3,,0.994,0.5368417511986692,1981,989,False
ilvA,,0.9545,0.5367176789310384,1913,971,False
rip2,,0.984,0.5366736968343568,1967,987,False
cobT,,0.936,0.5366388308977035,1873,958,False
pPE26,,0.893,0.5365150609428667,1778,916,False
eccB1,,0.9965,0.536399732934958,1990,993,False
devR,,0.9985,0.5363721424795428,1995,997,False
crtC,,0.994,0.5362100359079212,1983,993,False
uvrD2,,0.964,0.5361593849643851,1928,971,False
ctpE,,0.9935,0.536135628148297,1986,993,False
vapC1,,0.998,0.5359777463266722,1992,996,False
fadD30,,0.551,0.5359004540104254,1101,475,False
pknL,,0.9985,0.535876402996291,1990,996,False
deaD,,0.995,0.5358735326532056,1989,994,False
eccC5,,0.9935,0.5358373057333159,1980,988,False
rsmE,,0.9525,0.5357734360123463,1901,964,False
bglS,,0.9955,0.5356398930134544,1987,992,False
lppQ,,0.998,0.5355578942275125,1992,996,False
ykfC,,0.616,0.5354649300736629,1231,551,False
dop,,0.999,0.5353291925215894,1994,996,False
tadA,,0.961,0.5352984919306583,1921,968,False
vapC46,,0.9885,0.5351285297993083,1972,989,False
pPE61,,0.9465,0.5349859429975926,1888,955,False
mbtF,,0.985,0.5349247261923015,1965,988,False
pknF,,0.9395,0.5348950214410926,1872,957,False
mET17,,0.994,0.5347655812912611,1983,990,False
esxE,,0.9825,0.5347534377121644,1963,989,False
murD,,0.9275,0.5347484673125429,1856,949,False
pecA,,0.8185,0.5347131681877444,1632,826,False
truA,,0.992,0.534701115258978,1986,993,False
accD4,,0.997,0.534647078450603,1989,994,False
mkl,,0.995,0.5346228630590135,1990,995,False
ctpV,,0.9505,0.5346029512140352,1897,958,False
eis,,0.98,0.5345775191646247,1954,983,False
ytcJ,,0.9195,0.5343575157028503,1836,937,False
nadB,,0.9795,0.5342896252780472,1964,985,False
mutM,,0.9915,0.5341500641451457,1986,995,False
mtc28,,0.985,0.5341298588400877,1966,986,False
ssd,,0.9835,0.5340342399916869,1962,987,False
aTH1,,0.9265,0.5339869741242739,1847,950,False
ycjD,,0.9345,0.5337916032044764,1865,949,False
whiB6,,0.975,0.5336724034230603,1947,970,False
vapC37,,0.9965,0.5336720848027956,1989,992,False
eccA3,,0.992,0.533644565159721,1980,994,False
rtcB,,0.9905,0.5333329243843017,1978,991,False
iniR,,0.9575,0.5331030512377662,1910,965,False
pknH,,0.9925,0.5330999194773162,1981,990,False
rpsO,,0.993,0.5330394426862683,1989,994,False
citB,,0.9915,0.533019735525063,1984,993,False
accD2,,0.963,0.5329388754539046,1922,973,False
mycP5,,0.9735,0.5329232627630491,1943,980,False
embA,,0.982,0.5327416579380516,1962,984,False
fadA,,0.973,0.5326144429498404,1945,984,False
secE,,0.992,0.5325695111517837,1990,993,False
ccsB,,0.9945,0.5325273211851755,1986,992,False
mbtG,,0.9985,0.53251661263528,1992,996,False
pE_PGRS24,,0.624,0.5325008717556378,1243,666,False
sdaA,,0.993,0.5323914548712937,1982,992,False
pgi,,0.985,0.532246809642245,1970,991,False
recA,,0.9915,0.5321949785098267,1993,996,False
lipN,,0.9985,0.5321747913497679,1994,996,False
fadD5,,0.9845,0.5320617846184321,1969,983,False
glpQ1,,0.9945,0.5320594311543061,1984,991,False
eccC3,,0.981,0.5318807176721978,1958,982,False
cyp142,,0.994,0.5316762149669606,1983,991,False
caeB,,0.964,0.5316664435558396,1925,973,False
pPE44,,0.975,0.5314372032345126,1946,981,False
nuoF,,0.9825,0.5313824903354676,1968,989,False
leuA,,0.9265,0.5313302340508661,1855,911,False
marP,,0.997,0.5313228417647308,1991,994,False
mymA,,0.94,0.5312452552263327,1879,929,False
mez,,0.998,0.5312359188117115,1992,995,False
aspB,,0.954,0.5311658203420863,1909,946,False
hisB,,0.993,0.5310422594902222,1991,995,False
pE_PGRS60,,0.3225,0.5309416821334375,643,290,False
cyp51,,0.9965,0.5309375747186525,1987,996,False
trcS,,0.999,0.5309074814805863,1993,996,False
metG,,0.9935,0.5308425275827482,1991,997,False
infC,,0.9835,0.5307976074764813,1970,991,False
ygcG,,0.9475,0.5307799894822821,1891,961,False
pE_PGRS11,,0.932,0.5307238399970385,1860,951,False
mngB,,0.8955,0.5306706781403799,1791,919,False
vapC48,,0.994,0.5306458155855747,1986,996,False
htpG,,0.992,0.5306095336032997,1986,993,False
pafC,,0.9275,0.5305790356570458,1851,948,False
ansA,,0.957,0.5305726660040455,1916,972,False
devS,,0.996,0.5304963228052737,1990,997,False
zwf,,0.9925,0.5304614679392201,1986,993,False
egtA,,0.982,0.5304181837830648,1962,978,False
pfkB,,0.982,0.5303546861921219,1965,984,False
scoB,,0.9975,0.5303320929593626,1990,994,False
apt,,0.98,0.5302138482300426,1963,988,False
pepD,,0.934,0.5301774651641605,1866,944,False
pE_PGRS62,,0.98,0.530145473574045,1955,980,False
plcC,,0.953,0.5299453026453711,1898,952,False
ppk,,0.9425,0.5299372226541678,1880,941,False
eccA2,,0.9055,0.5299139238030027,1809,920,False
dnaE2,,0.9295,0.5299084434217145,1854,952,False
cyp124,,0.996,0.529900003033275,1989,994,False
korB,,0.9955,0.5298246498288837,1992,995,False
secA2,,0.9975,0.5298052103998111,1991,994,False
ruvA,,0.972,0.5296563671595266,1949,984,False
punA,,0.966,0.5296535115562386,1930,981,False
psd,,0.984,0.529510245393704,1968,988,False
splB,,0.9825,0.5294647125496333,1964,983,False
tatB,,0.9945,0.529463256825837,1991,998,False
eccC4,,0.9875,0.5294470212327355,1970,990,False
ask,,0.998,0.5293760211185422,1994,996,False
yidC,,0.9895,0.5293671864668843,1983,993,False
espG,,0.994,0.5293655778894472,1987,995,False
nrp,,0.981,0.5293035916997763,1958,982,False
cysK,,0.982,0.5292434298947543,1967,987,False
ripB,,0.9965,0.5292328375343652,1993,998,False
rip,,0.986,0.5291607477756343,1967,989,False
far,,0.995,0.5291102753340973,1988,994,False
lipV,,0.9925,0.5290010659357393,1985,995,False
rlmN,,0.9325,0.5289839223140875,1869,940,False
sbcC,,0.929,0.5289738096674914,1857,949,False
yHI9,,0.9985,0.5289193694539129,1991,993,False
drrB,,0.998,0.5289069416498994,1994,994,False
vapC38,,0.9985,0.5285419934436277,1992,994,False
tra5,,0.893,0.5284438131313131,1780,900,False
nrtS,,0.9945,0.5283892626959451,1988,992,False
pPE15,,0.96,0.5283282069482236,1911,963,False
topA,,0.994,0.5283275513766708,1991,993,False
purF,,0.993,0.5281822304779392,1990,993,False
mmpL5,,0.9635,0.5280864257381157,1927,973,False
ispH1,,0.9915,0.5280508235927909,1980,992,False
mycP4,,0.9525,0.5279862244174087,1900,968,False
cobM,,0.973,0.5278707205896616,1948,982,False
yobV,,0.9535,0.5278439310947051,1905,969,False
eccB2,,0.946,0.5278273756183238,1890,962,False
eccE2,,0.9905,0.5277247249537335,1979,991,False
echA12,,0.997,0.5276697695896113,1994,997,False
glnD,,0.922,0.5276581363363859,1847,877,False
tgs4,,0.9895,0.5274754739920953,1977,991,False
mmuM,,0.9905,0.5274646565234427,1980,992,False
rfbC,,0.996,0.5273801027402785,1992,996,False
hpt,,0.9955,0.5273622678901897,1991,994,False
lgt,,0.9755,0.5273540214478615,1956,983,False
sucB,,0.9975,0.5272425316149454,1992,995,False
infB,,0.9945,0.5271449428931957,1989,997,False
nrdZ,,0.9755,0.5271353743368214,1948,979,False
cgoX,,0.9095,0.5271118156000264,1809,927,False
ripD,,0.9755,0.5270170714892258,1951,984,False
treY,,0.9895,0.5269832087020492,1980,993,False
lpqB,,0.996,0.5267924376143506,1992,995,False
pPE14,,0.9195,0.5267910458371247,1838,942,False
yloV,,0.534,0.5267874826698355,1065,561,False
arcA,,0.9975,0.5263735931412327,1992,997,False
thiO,,0.996,0.5261412271779741,1993,995,False
glpX,,0.9905,0.5260705461691509,1981,992,False
ureH,,0.996,0.5259948243678941,1990,994,False
mas,,0.9085,0.5259675433035291,1815,921,False
proV,,0.9695,0.5258711766209423,1938,970,False
mycP2,,0.746,0.5258157097246986,1490,763,False
whiA,,0.988,0.5257401954770374,1978,988,False
yejR,,0.9895,0.5256887416404405,1976,992,False
catC1,,0.9645,0.5256543123512927,1925,972,False
phoR,,0.992,0.5256353150787698,1981,992,False
pyrG,,0.9945,0.5255721848324431,1990,993,False
vapB34,,0.999,0.5255605335916531,1991,995,False
lppC,,0.9935,0.5252357748337648,1985,990,False
folC,,0.98,0.525180995052352,1963,989,False
kstD,,0.9885,0.5250760393760662,1973,988,False
ansP,,0.978,0.5250565797118473,1953,971,False
pPE32,,0.966,0.5249882565375532,1927,976,False
fgd,,0.996,0.5249702326895522,1991,995,False
yggS,,0.9935,0.524791801750689,1987,992,False
btlA,,0.9965,0.5247435316122085,1988,994,False
otsA,,0.9975,0.5247173366834171,1987,992,False
rarA,,0.994,0.5246666301940546,1987,994,False
php,,0.992,0.524661542084917,1985,992,False
pbpB,,0.9965,0.5245641950856399,1986,993,False
tcrY,,0.992,0.5244598199739328,1982,992,False
birA,,0.9915,0.5241037961640813,1986,994,False
clcA,,0.9585,0.5240903590770748,1919,958,False
serB1,,0.969,0.5240898003626652,1932,974,False
gndA,,0.9915,0.5240202019177624,1986,995,False
plsB,,0.976,0.5238918663303909,1951,976,False
pPE69,,0.8815,0.5238370215349636,1761,915,False
fadD22,,0.9895,0.5238289197365351,1977,989,False
nuoM,,0.9945,0.523702011061343,1989,995,False
narH,,0.9945,0.5236489093005879,1985,993,False
yhgE,,0.9785,0.5235874776722761,1957,990,False
tgs1,,0.998,0.5235737302177345,1994,997,False
pcp,,0.9955,0.5234886707177739,1989,994,False
xylB,,0.9755,0.5234864945199402,1955,984,False
cyp130,,0.9765,0.5234504169220432,1949,983,False
ybjQ,,0.443,0.5234280971155841,883,395,False
rpsE,,0.9875,0.5233796161399914,1978,991,False
ctpC,,0.984,0.5230949577575346,1968,990,False
ppgK,,0.9985,0.5230344879083445,1991,993,False
eccE5,,0.997,0.5229385283067755,1988,992,False
pccA,,0.9605,0.5229046532290378,1917,976,False
accC,,0.9475,0.5228847470267082,1896,965,False
fprB,,0.9555,0.5228555824603885,1910,968,False
ctaE,,0.998,0.5228346139515211,1993,998,False
hemE,,0.9355,0.5227618932685455,1875,961,False
mgtC,,0.995,0.5225768029896141,1989,992,False
yhbS,,0.991,0.5225585882808165,1982,995,False
stp,,0.993,0.5225561842658599,1982,991,False
fabG3,,0.9955,0.5223605413546035,1986,991,False
terC2,,0.9945,0.5222704394070711,1983,987,False
eccA1,,0.997,0.5222670920895163,1991,993,False
sigM,,0.977,0.522201820029564,1952,984,False
kdpB,,0.9935,0.5221672431365636,1987,993,False
papA3,,0.9985,0.5221660511392302,1991,995,False
raaS,,0.9965,0.5221110583096569,1989,994,False
nei1,,0.9975,0.5220742468126546,1994,997,False
fprA,,0.9925,0.5220014403828,1983,992,False
glnX,,0.993,0.5219175801529662,1985,994,False
pimF,,0.9685,0.5218554766626154,1937,965,False
mmpS1,,0.9225,0.5218380120949714,1844,910,False
nnr,,0.8705,0.5218085812083741,1737,892,False
yqfO,,0.965,0.5217929323946637,1927,978,False
ntrY,,0.9695,0.5217659093928524,1940,975,False
murB,,0.9755,0.521719910223602,1953,985,False
dacB,,0.987,0.5216728727781436,1972,992,False
ccdA,,0.9855,0.5216588862265554,1968,988,False
cut3,,0.994,0.5216133711467725,1983,992,False
argH,,0.974,0.5215841089900349,1949,986,False
purT,,0.9735,0.5215519697753199,1947,985,False
pPE20,,0.992,0.5214212835424956,1980,990,False
htdX,,0.9985,0.5214126952603906,1997,999,False
ydbT,,0.9155,0.5213808057258538,1827,939,False
lipR,,0.9225,0.5212964444360789,1844,928,False
ycaO,,0.9725,0.521269018177674,1947,981,False
glgM,,0.986,0.521236141305751,1968,983,False
hemD,,0.981,0.5211461512377077,1958,983,False
fadD29,,0.942,0.5211085878272266,1883,905,False
gltB,,0.9925,0.5210857715999352,1987,992,False
sadH,,0.9375,0.5210798732502581,1876,938,False
bDS1,,0.9855,0.5209365501558957,1969,986,False
