gene_name,annotation,prevalence,lr_auroc_levofloxacin,n_train,n_pos,kept_filtered
tatB,,0.997,0.6132077274954252,1994,997,False
guaB,,0.9725,0.6125713899781767,1947,983,False
pPE17,,0.987,0.6122213136253529,1972,987,False
nlpC,,0.94,0.6118832825728322,1880,972,False
rpfE,,0.9915,0.61185091224244,1983,991,False
lysS,,0.9965,0.611846069804197,1994,997,False
pPE32,,0.972,0.6114931920288125,1942,985,False
cyp121,,0.9445,0.6104048446787037,1889,964,False
smc,,0.978,0.6103722236394735,1956,982,False
stp,,0.994,0.6103149179937957,1988,993,False
pyrD,,0.992,0.6096355117439455,1986,996,False
accD6,,0.9945,0.6091660515858973,1989,995,False
ggt,,0.9895,0.6085456703271562,1979,992,False
ltp2,,0.9925,0.6084972536833907,1986,992,False
dusB,,0.9905,0.6084797831534594,1982,989,False
nnr,,0.8725,0.6084700860990507,1745,889,False
ponA2,,0.9625,0.6081798908901713,1925,963,False
nudC,,0.993,0.6075456764733269,1988,994,False
pE_PGRS26,,0.3825,0.6072752759768704,764,439,False
nrdE,,0.984,0.6071838222423576,1971,986,False
obgE,,0.9925,0.6063112186384286,1987,996,False
papA2,,0.995,0.6062915179519327,1989,995,False
pafB,,0.998,0.6062783919597989,1995,995,False
pE_PGRS24,,0.6375,0.6061686306479903,1273,655,False
fhaA,,0.9975,0.6061287645794687,1993,994,False
spmT,,0.975,0.6058493096646943,1950,975,False
hsdM,,0.9955,0.6052175450114896,1990,995,False
lppN,,0.9965,0.6032520251517605,1993,996,False
gp36,,0.2725,0.6015920276259619,545,246,False
aceA,,0.9915,0.600830512844981,1985,994,False
accD1,,0.99,0.5996874712749333,1979,989,False
fadD19,,0.4845,0.5988983689692983,968,456,False
preP,,0.9485,0.596163725522901,1897,967,False
proB,,0.9345,0.5960324436402624,1872,971,False
bglS,,0.993,0.5956147161160251,1984,992,False
tal,,0.9945,0.5954527364993171,1990,996,False
pPE20,,0.994,0.5951051929678666,1986,995,False
frsA,,0.967,0.5950261214465418,1934,982,False
ino1,,0.987,0.5939577321215775,1975,994,False
pPE38,,0.625,0.5926328375466442,1248,718,False
maf,,0.995,0.5920639064850023,1992,994,False
pPE66,,0.1635,0.5910018844221105,327,128,False
ykfC,,0.538,0.5906093953638214,1075,412,False
pssA,,0.9545,0.5897956323922877,1912,978,False
pE_PGRS16,,0.4085,0.5895749848208864,816,450,False
rfbC,,0.9955,0.5894908529332307,1992,994,False
pknJ,,0.964,0.5887066523521879,1927,988,False
citA,,0.9785,0.5880901395255461,1956,988,False
fadD6,,0.993,0.5867088794111759,1984,991,False
cobN,,0.965,0.5865583075335397,1929,960,False
cmcI,,0.9945,0.5864875833981086,1988,992,False
ccsB,,0.9945,0.5863640679417872,1990,994,False
kstD,,0.989,0.5852264022600394,1979,993,False
lppB,,0.524,0.5849896632623828,1047,398,False
mtrB,,0.9965,0.5842918295179601,1994,995,False
adnB,,0.9475,0.5837992500746805,1895,972,False
fadD30,,0.4795,0.5826275533998695,959,355,False
recC,,0.809,0.5825931731104146,1619,836,False
kdpD,,0.922,0.5822932389650389,1844,931,False
eccA2,,0.9405,0.5816004302536232,1880,960,False
glfT1,,0.9965,0.58158208459716,1994,995,False
amyA,,0.99,0.5808969370142272,1979,990,False
cstA,,0.992,0.5802613661768591,1984,990,False
tap,,0.9665,0.5799631053990741,1933,977,False
oxyS,,0.9965,0.5792254444915339,1991,996,False
yqjF,,0.9795,0.5789759256358034,1957,982,False
glgP,,0.986,0.5779601713986252,1973,990,False
aTH1,,0.941,0.5775929299962023,1882,968,False
ripC,,0.986,0.5773236437696723,1972,990,False
fdhD,,0.996,0.5770327013103438,1995,997,False
phiG,,0.9965,0.5762807021077331,1993,995,False
skfB,,0.9925,0.5760788792447084,1985,995,False
rpfA,,0.834,0.5759892473735906,1669,836,False
mutT4,,0.9765,0.575423267119269,1954,984,False
pknA,,0.884,0.5752268106342995,1766,908,False
recR,,0.9955,0.5748470824949699,1994,994,False
vapC38,,0.9965,0.5742847254035749,1991,994,False
carB,,0.9765,0.5742724838649576,1955,989,False
rskA,,0.997,0.5742634868129834,1994,996,False
mmpL6,,0.952,0.5733178595394504,1904,968,False
bkdC,,0.971,0.5729704650947738,1940,979,False
pqqL,,0.201,0.5718373643873793,401,204,False
umaA,,0.99,0.5716072711244614,1980,988,False
cut3,,0.9965,0.5715594018235612,1992,995,False
cyp135A1,,0.997,0.5714025781842229,1992,996,False
secA2,,0.998,0.5712240296408633,1997,999,False
fadD28,,0.9905,0.5708221960868172,1982,987,False
lipI,,0.98,0.5706039965943807,1958,984,False
mshA,,0.959,0.5705843204676911,1918,969,False
cpnT,,0.9445,0.5704389040530106,1888,956,False
pheT,,0.96,0.5702136300869141,1922,975,False
gph,,0.842,0.5699684567563479,1684,883,False
ag85C,,0.9975,0.569619318113294,1995,996,False
ygaE,,0.975,0.5680006908113663,1949,981,False
mmpL1,,0.9175,0.5677946669581417,1835,907,False
far,,0.996,0.5674013993691335,1991,997,False
eccE1,,0.9975,0.5671619065613676,1995,997,False
plcC,,0.956,0.5664530818233016,1911,973,False
narJ,,0.99,0.5661131821102332,1982,991,False
damX,,0.941,0.5658083775523343,1883,974,False
htdY,,0.96,0.5655407433508208,1918,972,False
fgd,,0.9945,0.565510533077986,1990,994,False
ansA,,0.966,0.5649672037857912,1934,982,False
mkl,,0.9975,0.5648727173221946,1994,996,False
pE_PGRS18,,0.1685,0.5646079484425348,337,190,False
lpqI,,0.999,0.5640044448853258,1998,999,False
pPE49,,0.938,0.5634477871838529,1876,963,False
pks13,,0.944,0.5633003544667295,1889,969,False
gndA,,0.992,0.5632924935779053,1986,993,False
guaA,,0.9915,0.5631749251326454,1983,992,False
fadD25,,0.9915,0.5629268515975465,1983,990,False
proV,,0.9795,0.562888023949599,1959,988,False
cyp130,,0.981,0.56287902901997,1961,987,False
cfa,,0.9515,0.5627469636698801,1905,968,False
phoP,,0.9975,0.5622670863634719,1995,996,False
accD2,,0.9705,0.5622143843457905,1940,983,False
ilvD,,0.9885,0.56172863463479,1979,991,False
trmI,,0.997,0.5615393274010408,1995,997,False
pPE25,,0.669,0.5609319036532951,1338,698,False
crtC,,0.9945,0.5606896516823796,1988,995,False
vapC37,,0.996,0.5603959766623815,1991,994,False
recX,,0.989,0.5603124265914964,1979,990,False
pepE,,0.9875,0.5602494805902626,1976,994,False
purL,,0.993,0.5596162661452586,1986,994,False
egtB,,0.992,0.5594140601182854,1984,994,False
lipC,,1.0,0.5589360000000001,2000,1000,False
esxU,,0.9975,0.5587763703760227,1996,998,False
ispE,,0.9885,0.558331903454587,1979,992,False
secY,,0.9965,0.5581705075185516,1996,997,False
ctpB,,0.9935,0.5581633088135269,1985,994,False
mmpL2,,0.9785,0.5580479219544804,1957,987,False
glcB,,0.9945,0.5578294061558103,1990,994,False
mbtF,,0.986,0.5567443432944125,1970,992,False
ctpA,,0.978,0.556354867175215,1956,984,False
vapB47,,0.36,0.5562906707667459,719,338,False
kdpE,,0.956,0.5561779923658775,1912,944,False
espA,,0.993,0.5555194805194805,1984,994,False
cYB5,,0.5895,0.555488136153728,1177,501,False
cut1,,0.1715,0.5554813082377399,342,123,False
espB,,0.772,0.5554733318231017,1544,779,False
yggS,,0.9965,0.5554719709649287,1993,994,False
nadB,,0.9895,0.5553443945676415,1981,993,False
dnaE,,0.994,0.5552180735755654,1989,992,False
pPE26,,0.922,0.5547714395614509,1843,962,False
pPE19,,0.7295,0.5544589066006855,1458,757,False
mftR,,0.996,0.5543999645878102,1994,996,False
mycP,,0.1595,0.5541350731793334,319,107,False
iniR,,0.968,0.5540429438824801,1937,983,False
yjiN,,0.998,0.5538291010879475,1996,998,False
pPE28,,0.9895,0.5528309552708658,1977,991,False
rtcB,,0.9925,0.5527024179315572,1987,993,False
atsB,,0.989,0.5520514368757163,1977,992,False
ydhS,,0.991,0.5520074739328771,1982,990,False
adh,,0.991,0.5519260141739981,1982,990,False
darT,,1.0,0.5517197197197197,1999,999,False
papA1,,0.994,0.5516115319801425,1988,995,False
pPE4,,0.982,0.5515868851164379,1962,983,False
cysNC,,0.9905,0.5512680545749139,1980,994,False
irtA,,0.994,0.5512661977869091,1989,992,False
secD,,0.995,0.5512085539287831,1992,994,False
pPE33,,0.997,0.5504659199045178,1992,996,False
frdA,,0.9905,0.5502227494666742,1982,985,False
fadH2,,0.9965,0.5501700268410326,1991,995,False
mngB,,0.9145,0.5501112946419494,1830,949,False
mmpL8,,0.997,0.5499427067561763,1994,997,False
lppW,,0.998,0.5497265802877024,1997,998,False
mycP5,,0.979,0.5496136634532947,1956,986,False
ppsB,,0.8615,0.5495899968104134,1724,863,False
dinB1,,0.9875,0.5485856012732869,1975,994,False
accC,,0.958,0.5483060443331589,1918,977,False
mbtK,,0.999,0.5481908334761187,1998,999,False
uvrD2,,0.9765,0.5478718160097835,1953,987,False
pxpB,,0.9825,0.5478599636990502,1965,989,False
aao,,0.995,0.5476237707937767,1988,994,False
cut6,,0.999,0.5475911783527013,1997,999,False
ispH,,0.9805,0.5468568518948695,1964,988,False
mutA,,0.9625,0.5466250110671305,1925,978,False
infB,,0.992,0.5465322174985398,1986,992,False
mftF,,0.9965,0.5465163024142569,1995,998,False
sGA1,,0.9885,0.5464852364287708,1978,991,False
espE,,0.9055,0.5457662470725995,1811,896,False
pirG,,0.2415,0.5454288164665524,485,220,False
sbcC,,0.9485,0.5453564063261261,1897,974,False
cysK2,,0.994,0.5453406143621332,1987,992,False
hsdS,,0.9975,0.5452561294716647,1994,997,False
pPE12,,0.9875,0.5450713859573332,1972,990,False
mmpL11,,0.979,0.5443878083392463,1958,988,False
higB2,,0.9925,0.5443362922150801,1980,990,False
fprB,,0.9655,0.544299512450537,1931,979,False
fadD4,,0.993,0.5439731345223013,1985,993,False
eccC2,,0.5165,0.5438683215805857,1032,396,False
eccC4,,0.987,0.5437284725476172,1973,989,False
metH,,0.971,0.5434045881126173,1943,984,False
lys2b,,0.9685,0.5432504802996985,1935,981,False
recA,,0.9925,0.5430833603501378,1987,992,False
eccB1,,0.996,0.542990137414255,1991,994,False
pE_PGRS46,,0.572,0.5425398143024043,1141,585,False
lolE,,0.4565,0.5423423470128362,913,581,False
yhaK,,0.994,0.5421766435399555,1988,993,False
ephD,,0.99,0.5421030238224478,1980,994,False
pecA,,0.8125,0.5420957078440025,1624,807,False
lipR,,0.937,0.5418980393588333,1873,956,False
desA3,,0.982,0.5418882744531718,1965,986,False
mmaA1,,0.9975,0.5418497637845973,1994,998,False
fadE28,,0.978,0.5417415031776733,1955,987,False
lipE,,0.9955,0.5413657642618668,1992,996,False
dhaA,,0.995,0.5412302910563812,1989,991,False
gyrB,,0.9945,0.5412297193086798,1992,995,False
comEA,,0.9915,0.5410656332561401,1981,992,False
cyp142,,0.993,0.5410586627738173,1985,991,False
lppC,,0.9935,0.5410099894634463,1987,992,False
cut2,,0.998,0.5408689759036145,1996,1000,False
ftsI,,0.993,0.5408259299825565,1986,996,False
gltD,,0.996,0.5408257906248868,1993,997,False
pPE11,,0.943,0.5407858011074596,1886,970,False
aftA,,0.985,0.5406099750314686,1969,989,False
whiB6,,0.9775,0.540314292136946,1956,971,False
rip2,,0.9925,0.5400274710771992,1985,997,False
cyp128,,0.982,0.5396111067900754,1964,989,False
hisJ,,0.9715,0.5395159412312642,1944,980,False
cyp144,,0.9795,0.539057914251397,1957,975,False
ogt,,0.9955,0.5388193482503059,1989,994,False
eccC3,,0.9885,0.5388179713152998,1975,989,False
pPE13,,0.319,0.538638536935214,638,356,False
pPE68,,0.985,0.5386040829634399,1969,991,False
birA,,0.994,0.5385108272285121,1991,995,False
wag22,,0.151,0.5384122287968441,299,104,False
ygiQ,,0.9975,0.538392956647721,1996,999,False
ppk,,0.94,0.5382056243754658,1879,938,False
tdh,,0.994,0.5380973346085918,1988,993,False
argH,,0.9765,0.5380450140983052,1955,986,False
murF,,0.994,0.5380393679450934,1989,993,False
deaD,,0.995,0.5379982240519869,1991,996,False
betT,,0.996,0.5379757500903115,1991,998,False
ileS,,0.992,0.5379282662046329,1984,989,False
espG,,0.9955,0.5379242421495942,1993,994,False
eccB2,,0.9685,0.5377364834932573,1936,983,False
mhpF,,0.131,0.53765664160401,263,95,False
mas,,0.9095,0.5376063534256426,1818,897,False
ftsH,,0.9615,0.537549257759784,1925,975,False
chp1,,0.996,0.5374079986438187,1991,994,False
alr,,0.995,0.5374038783015714,1993,996,False
fadD17,,0.9945,0.5373366962337405,1988,994,False
gAF,,0.952,0.5369113561151716,1902,968,False
sufD,,0.995,0.5368207237406384,1991,994,False
pPE15,,0.9785,0.5367755151223039,1954,989,False
kdpA,,0.9955,0.536756243410516,1994,996,False
deoA,,0.9745,0.5364653434690021,1949,986,False
metG,,0.996,0.5364374424675932,1994,995,False
murD,,0.9475,0.5361254766610071,1896,971,False
pPE42,,0.9795,0.5361120288394384,1956,982,False
plsB,,0.983,0.5360326994559069,1965,988,False
ripB,,0.997,0.5359436743966841,1993,996,False
ydbT,,0.936,0.5358751713782073,1870,969,False
pknL,,1.0,0.5357958158559362,1997,998,False
oPT,,0.992,0.5357714893170725,1982,991,False
topA,,0.9965,0.5357328240979193,1996,997,False
yloV,,0.63,0.5357310913825015,1261,753,False
yhgE,,0.9725,0.5357258412424503,1945,969,False
hisI,,0.9985,0.5357100587561509,1997,999,False
eccCb1,,0.9965,0.5354609392877268,1992,993,False
nadE,,0.992,0.5353633900175245,1986,992,False
mptB,,0.9925,0.5353441211786851,1986,992,False
dacB2,,0.992,0.5352212248950229,1983,992,False
ctpG,,0.9765,0.5351085495926766,1952,980,False
nuoN,,0.995,0.5350071370104394,1992,994,False
yjqB,,0.9865,0.5345977677134133,1972,989,False
rffA,,0.973,0.5342307220558629,1945,976,False
csm3,,0.999,0.5341491341494362,1993,996,False
papA3,,0.999,0.5341419654358472,1996,997,False
psd,,0.988,0.5340608113640085,1977,992,False
vapC6,,0.9745,0.5340434727610052,1948,980,False
lpqA,,0.9985,0.5338621073641767,1995,998,False
fadE5,,0.997,0.5338298097092067,1994,995,False
eccE2,,0.991,0.5337127096150789,1981,988,False
dop,,0.998,0.5337112438416352,1996,997,False
ycaO,,0.9805,0.5336386638887303,1962,985,False
ppsE,,0.9625,0.533524997195689,1926,978,False
cyp51,,0.997,0.5334146302085331,1991,997,False
secBL,,0.999,0.5333364426550798,1997,999,False
thrC,,0.993,0.5332828287438048,1986,993,False
cyp124,,0.996,0.5332782266397181,1992,997,False
mrr,,0.998,0.5329108568189538,1995,998,False
narH,,0.995,0.5328035346346616,1992,998,False
fadD29,,0.943,0.5327894071320862,1885,911,False
lppQ,,0.9975,0.5327688509549219,1994,996,False
fabG3,,0.997,0.5327392821033382,1993,996,False
vapC1,,0.9975,0.5327389985588026,1995,997,False
dapD,,0.995,0.5324586825804045,1992,995,False
cysW,,0.995,0.5324438457346975,1991,995,False
ubiA,,0.998,0.5324397543836421,1997,998,False
mqo,,0.9965,0.5323941347720198,1992,996,False
hepA,,0.9065,0.5319216759961771,1813,944,False
sigM,,0.9855,0.5317231731402238,1972,992,False
moxR1,,0.999,0.5317045502416243,1997,999,False
idsA1,,0.995,0.5316214454592565,1988,996,False
tra5,,0.892,0.5315542654094033,1783,886,False
arfA,,0.997,0.5314258034140571,1994,996,False
celA1,,0.9675,0.5312946539346802,1934,978,False
nlhH,,0.9645,0.5312537668756028,1928,976,False
lipN,,0.996,0.531215881043533,1991,994,False
punA,,0.974,0.5309924332766972,1947,985,False
pccA,,0.969,0.5309873949579831,1936,984,False
rpsO,,0.9955,0.5309494258440799,1991,995,False
tgs4,,0.9895,0.5309274398023948,1978,992,False
glnX,,0.9915,0.5308934645682106,1983,992,False
vapC36,,0.996,0.5306916726033231,1991,994,False
nit2,,0.9855,0.5306906450523472,1971,987,False
mfd,,0.9565,0.5305545019770945,1916,974,False
recN,,0.984,0.5305248604533589,1969,990,False
nuoG,,0.9525,0.530495027882681,1905,977,False
embA,,0.9875,0.5304270566750126,1974,993,False
idsB,,0.5825,0.5304219496230211,1162,494,False
mtc28,,0.99,0.5303764281001493,1979,993,False
mET17,,0.9945,0.5303285576915306,1990,994,False
mycP2,,0.754,0.5302516906833568,1507,769,False
tyrA,,0.8605,0.5301454318512775,1721,847,False
bioB,,0.995,0.5301336169311955,1992,997,False
mmpL7,,0.994,0.5299737255473508,1988,996,False
fpg2,,0.9695,0.5299234924019637,1938,979,False
vapC48,,0.996,0.5298904159350971,1991,995,False
sapM,,0.9995,0.5298276553106213,1998,998,False
pyrC,,0.9775,0.5297816268206469,1957,989,False
eccC5,,0.997,0.5297482515231265,1994,998,False
moaR1,,0.9895,0.5294932028720546,1979,994,False
xseA,,0.9865,0.529478498662371,1977,994,False
splB,,0.9835,0.5294598874032372,1966,986,False
mmpS1,,0.9395,0.5294324577861164,1879,943,False
scoB,,0.998,0.5292437284206969,1994,998,False
pgl,,0.9735,0.5292116878475064,1945,982,False
xerC,,0.9535,0.5291007792162107,1908,976,False
sucB,,0.996,0.5287292600693647,1993,997,False
pgi,,0.987,0.5287198212190487,1974,991,False
coxL,,0.992,0.5285320542104462,1985,995,False
gltX,,0.9935,0.5281442672096838,1990,996,False
ruvA,,0.9785,0.5281276325887544,1960,989,False
ntrY,,0.9675,0.5279981818667949,1934,975,False
secE,,0.995,0.5279325413426208,1992,995,False
pimF,,0.952,0.5279188770999117,1903,928,False
pknH,,0.992,0.527895380371206,1983,994,False
pPE16,,0.566,0.5278816514225074,1130,514,False
rarA,,0.9945,0.5278252429147751,1989,994,False
glmS,,0.9945,0.5278136756410204,1992,998,False
chlI,,0.953,0.5277948879272985,1907,958,False
yHI9,,0.9985,0.527656672736994,1995,996,False
yeaO,,0.996,0.5275097478659532,1992,994,False
lig,,0.9795,0.5274980174464711,1958,988,False
hutI,,0.4615,0.5274786324786325,925,585,False
eccD2,,0.945,0.5274240923796636,1890,964,False
nuoM,,0.998,0.5272328223581432,1996,998,False
glpX,,0.9925,0.5272019832995962,1987,994,False
xth,,0.9905,0.5270013644509612,1982,992,False
xylB,,0.9875,0.5269601892345692,1976,989,False
ppsD,,0.9875,0.5267267211947044,1977,993,False
pPE69,,0.9035,0.5267103839913466,1806,946,False
hIS2,,0.9625,0.5267098036671856,1924,940,False
yjjB,,0.9525,0.5265603949524059,1905,967,False
glnD,,0.9365,0.526448263499581,1873,902,False
mez,,0.9965,0.5263506913324136,1993,998,False
rne,,0.955,0.5262245054776175,1909,964,False
sadH,,0.942,0.5261846214818268,1885,954,False
hflX,,0.9845,0.5260907228190168,1973,991,False
mbtJ,,0.9955,0.5260811859106446,1990,994,False
lppV,,0.997,0.5258281420253251,1993,994,False
mgtC,,0.999,0.5258078720002567,1997,998,False
devR,,0.999,0.525672,2000,1000,False
pPE62,,0.812,0.5254635342870637,1623,858,False
treZ,,0.9505,0.5254538589637977,1901,968,False
accD3,,0.981,0.5254501658505766,1962,988,False
pepN,,0.9585,0.52542458684434,1917,972,False
lppD,,0.329,0.5253567764201101,657,302,False
bssS,,0.104,0.5252346193952033,207,70,False
accD4,,0.9975,0.5251849079685476,1994,996,False
espG2,,0.985,0.5251613728662462,1969,992,False
mmuM,,0.99,0.5251582498041009,1980,992,False
accA1,,0.99,0.5249718848403059,1978,990,False
bluB,,0.993,0.5249576936779377,1988,996,False
ppsC,,0.768,0.5248377438081545,1536,772,False
argJ,,0.9855,0.5248281940866227,1971,993,False
clpC,,0.995,0.5247975288919446,1989,994,False
tgs1,,1.0,0.5246544999999999,2000,1000,False
glpR,,0.9965,0.5246425649694575,1995,998,False
pE_PGRS8,,0.7615,0.524593575978665,1522,774,False
eccD4,,0.9675,0.5245126244909135,1934,976,False
fes,,0.9875,0.5245094017654973,1975,992,False
dprA,,0.9835,0.5244115298931764,1968,989,False
sucD,,0.9935,0.5244014388139703,1988,994,False
hisD,,0.9845,0.5244012438476904,1971,991,False
araD,,0.97,0.5242224626612356,1942,982,False
lprE,,0.4505,0.5241481287092737,903,527,False
clpB,,0.9945,0.5241215614715633,1993,997,False
hpt,,0.996,0.5240686990832216,1995,998,False
chp2,,0.999,0.5240224938855668,1996,998,False
clcA,,0.9695,0.5239180898690101,1940,978,False
folC,,0.986,0.523852210719043,1972,987,False
lysX2,,0.9935,0.523849084130329,1987,992,False
cyp132,,0.9975,0.5238411016181074,1993,996,False
ilvX,,0.958,0.5237622754517235,1912,974,False
ffh,,0.973,0.5237242259882235,1947,980,False
mptA,,0.995,0.5236242649710853,1987,991,False
miaA,,0.9825,0.5235809303478477,1968,988,False
malQ,,0.979,0.5234914314810641,1958,986,False
sigI,,0.991,0.5234762108001545,1984,990,False
glgE,,0.9885,0.5234570483949038,1975,991,False
cHAD,,0.987,0.523411845015988,1974,989,False
korA,,0.9975,0.5233918187428015,1995,998,False
mymA,,0.9525,0.5233278712945031,1904,959,False
cobD,,0.9115,0.5233004564230403,1823,933,False
fadA,,0.978,0.523285074112375,1957,990,False
pE_PGRS11,,0.947,0.5232279104110262,1891,956,False
ripD,,0.9865,0.5232248915925112,1973,988,False
htpG,,0.9975,0.5230019598757074,1997,999,False
metK,,0.992,0.5229592406476828,1985,990,False
galT,,0.7375,0.5229327146868479,1475,843,False
fadD2,,0.9955,0.5227696140630728,1993,997,False
