gene_name,annotation,prevalence,lr_auroc_ethambutol,n_train,n_pos,kept_filtered
mmpL10,,0.9975,0.6325068887218895,1990,994,False
carA,,0.9835,0.6322466537222174,1968,988,False
pPE66,,0.186,0.6319945581450372,372,158,False
ramB,,0.9955,0.6318294325337604,1989,996,False
sigG,,0.995,0.6314906189237646,1990,995,False
papA2,,0.9895,0.6306344145945679,1976,988,False
csm4,,0.9925,0.6302922954238743,1978,990,False
eRF1,,0.996,0.6301874692262335,1987,994,False
pPE17,,0.976,0.6298841960129528,1948,972,False
pdtaS,,0.996,0.6297175009858144,1989,994,False
lprF,,0.9945,0.6297023801046928,1983,989,False
kefB,,0.9935,0.6294548319178441,1985,994,False
trmL,,0.9915,0.6290099692008428,1987,992,False
cyp121,,0.934,0.6286577016216117,1867,964,False
ltp2,,0.988,0.6284294583214548,1975,989,False
amyA,,0.989,0.6270059981457483,1976,985,False
rpfE,,0.991,0.6269165403612268,1979,991,False
pyrD,,0.9855,0.6262332203697291,1970,986,False
pknB,,0.9945,0.6260042668068714,1989,995,False
guaB,,0.9725,0.6254137414879934,1948,978,False
sulP,,0.969,0.6242147953243806,1937,973,False
nlpC,,0.949,0.6236751023860398,1896,960,False
glgP,,0.9885,0.6232628420478364,1975,988,False
pPE1,,0.956,0.6230116520814195,1908,962,False
nodJ,,0.963,0.6220738369906769,1924,962,False
crtC,,0.993,0.6218719452590421,1982,990,False
sdhD,,0.9945,0.6216717421340326,1993,996,False
pafB,,0.997,0.620194757660077,1989,992,False
pknA,,0.8995,0.6197804744448658,1797,918,False
ccsB,,0.9965,0.619159368397284,1992,996,False
ykfC,,0.614,0.6175446843277486,1228,474,False
gp36,,0.3225,0.6169011693300227,643,226,False
pE_PGRS46,,0.4915,0.6164992076604066,978,532,False
spmT,,0.9665,0.6162605098691607,1933,967,False
adnB,,0.9595,0.6154538191254523,1917,964,False
kgd,,0.997,0.6153075769244727,1992,994,False
eccE1,,0.9975,0.6143062352887809,1992,995,False
ybbP,,0.984,0.6139274566785061,1966,988,False
pE_PGRS24,,0.6155,0.613627650908084,1227,641,False
pepE,,0.988,0.6130978122091252,1971,984,False
preP,,0.9275,0.6125933719218064,1852,959,False
esxJ,,0.1685,0.612397570968686,337,136,False
nrdE,,0.9865,0.6120036178826771,1975,987,False
ansA,,0.9745,0.6118331543143574,1949,980,False
nrnA,,0.992,0.6114125338399817,1981,992,False
yprA,,0.9865,0.610837580735024,1969,989,False
pPE3,,0.918,0.6101166972721478,1834,926,False
mshA,,0.9695,0.6097301469522127,1937,969,False
cyp143,,0.9975,0.6094724880684832,1990,995,False
narS,,0.996,0.609043208007911,1991,996,False
ponA2,,0.9725,0.6085273663534534,1941,975,False
phiG,,0.996,0.6083535452392097,1987,994,False
purF,,0.9915,0.6073614063412734,1986,992,False
vapC38,,0.9975,0.6072965227745152,1991,995,False
pks13,,0.9565,0.6062549821328518,1910,959,False
mutT4,,0.9815,0.6053285672721227,1962,982,False
glpQ1,,0.995,0.6049238982280781,1986,992,False
dkgA,,0.998,0.6044619359200329,1994,996,False
oxyS,,0.997,0.6044243572744683,1991,993,False
mtrB,,0.9965,0.6040567894066224,1992,996,False
kstD,,0.985,0.6038662803581497,1970,989,False
pknJ,,0.964,0.6037536342521155,1922,965,False
rfbC,,0.994,0.6036337466225601,1990,995,False
yqjF,,0.976,0.6035016606662948,1946,962,False
glcB,,0.9935,0.6034677349089501,1987,994,False
pks15,,0.879,0.6031923850841265,1756,887,False
fadD19,,0.432,0.6029669440529839,864,433,False
kdpD,,0.91,0.6018721489313135,1820,899,False
fadD25,,0.9895,0.6011065194987893,1978,986,False
secA2,,0.996,0.6009040225515255,1989,992,False
chiZ,,0.971,0.6007801184289001,1938,970,False
far,,0.994,0.6004805266645188,1987,993,False
glfT1,,0.9955,0.5992534948911119,1991,994,False
accE5,,0.5425,0.599050024050024,1084,490,False
fadD32,,0.994,0.598993864308222,1985,992,False
glgB,,0.9855,0.597292609791803,1976,989,False
skfB,,0.994,0.5972288919823067,1987,994,False
sGA1,,0.9935,0.5968749999999999,1982,990,False
cobN,,0.983,0.5968688774661838,1968,987,False
maf,,0.9905,0.5968418386445755,1983,991,False
pPE33,,0.995,0.5967564280609428,1985,993,False
umaA,,0.9905,0.5966704456087671,1979,990,False
lppN,,0.995,0.5962641731495282,1989,998,False
fadD28,,0.993,0.5958117391215982,1984,990,False
lipY,,0.9955,0.5957045355603567,1990,997,False
pPE38,,0.5905,0.5956155093616394,1175,665,False
rskA,,0.9955,0.5954924114127191,1992,996,False
htdY,,0.9715,0.5954621051397135,1937,970,False
lipI,,0.9855,0.595354804495903,1969,983,False
cstA,,0.9935,0.5952956167589035,1988,994,False
recX,,0.989,0.594911272156479,1981,991,False
mmpL12,,0.9265,0.5945427209062535,1852,938,False
fdhD,,0.994,0.5943337550339461,1992,995,False
plcD,,0.302,0.5941458852867829,601,200,False
tap,,0.9705,0.5932935368951324,1938,973,False
mmpL6,,0.9275,0.5931904716951447,1854,963,False
mycP4,,0.9665,0.5931598525000806,1929,974,False
ctpV,,0.966,0.5931595322390302,1931,975,False
bkdC,,0.9785,0.5931439070584953,1953,979,False
vapC37,,0.9965,0.5929570372891934,1987,993,False
recR,,0.989,0.5929459993625781,1982,991,False
accD2,,0.9755,0.5923516961633299,1950,978,False
cut5b,,0.926,0.5922698733762817,1851,961,False
iniR,,0.9775,0.5917080505958023,1949,977,False
fadD6,,0.9935,0.5912105504661664,1985,992,False
hcaE,,0.9855,0.5906252115111278,1975,993,False
bglS,,0.9925,0.5897971245063913,1983,994,False
mmpL5,,0.974,0.5895641486203874,1948,976,False
nrtS,,0.994,0.5891116850209531,1985,992,False
hsdM,,0.9945,0.5890438493727248,1985,991,False
plcC,,0.9585,0.5886806312756444,1912,978,False
esxU,,0.9965,0.5884996639784946,1988,992,False
purL,,0.991,0.5884427181315255,1986,991,False
pPE44,,0.9815,0.5882917046718229,1960,982,False
purU,,0.995,0.5879556339701837,1993,997,False
galK,,0.9495,0.5876483207673452,1900,958,False
trpG,,0.996,0.5875837688101804,1992,996,False
damX,,0.9585,0.5875273019635506,1911,962,False
mftR,,0.997,0.5872356548603727,1995,997,False
pPE19,,0.522,0.5869664576565687,1044,610,False
hepA,,0.9045,0.5863205390978663,1805,929,False
lppW,,0.9975,0.586243466327622,1991,995,False
celA1,,0.973,0.5861444291085219,1944,976,False
cYB5,,0.651,0.5855686617154506,1301,545,False
yggS,,0.9935,0.585517902326973,1986,991,False
pPE20,,0.991,0.5847017748333537,1978,988,False
proV,,0.9725,0.5844058335004169,1947,965,False
fadH2,,0.9955,0.5828558525501707,1992,994,False
cyp135A1,,0.998,0.5827663714033667,1993,997,False
pheT,,0.968,0.5817835690551248,1938,970,False
stp,,0.9935,0.5806192744371893,1985,993,False
cpnT,,0.9525,0.5791029805752824,1904,958,False
cut1,,0.218,0.5787263556116014,435,130,False
dinG,,0.983,0.5777244202756211,1967,985,False
oPT,,0.9915,0.5767611231110326,1980,991,False
pPE22,,0.951,0.5767442839745173,1900,959,False
mycP2,,0.727,0.5764262107441461,1453,737,False
tdh,,0.987,0.57546984440178,1977,989,False
disA,,0.9955,0.5750504525625069,1993,997,False
smc,,0.971,0.5747678834527257,1944,972,False
yjqB,,0.9865,0.573444638310203,1973,987,False
otsA,,0.9935,0.5733687683284457,1982,990,False
rtcB,,0.992,0.5731071469425107,1979,992,False
espE,,0.9055,0.5729582830065967,1809,916,False
cyp136,,0.9975,0.5723745962058694,1994,997,False
atsB,,0.985,0.5723571032760174,1967,984,False
kdpA,,0.9875,0.572336265884653,1982,990,False
chp1,,0.996,0.5720089380504131,1989,994,False
oxc,,0.9965,0.5718482582240431,1990,994,False
deaD,,0.9955,0.5715887582101143,1989,992,False
narJ,,0.988,0.5715761677690612,1975,990,False
cysK2,,0.9965,0.5712100409670812,1992,996,False
rffA,,0.9665,0.5708537161002404,1931,960,False
fadE5,,0.997,0.5706271981714433,1994,996,False
birA,,0.989,0.5704007990831401,1978,989,False
cyp144,,0.986,0.570332256070202,1967,981,False
cmcI,,0.9935,0.5702672137771126,1985,991,False
aao,,0.9935,0.5700970300165676,1985,992,False
murG,,0.9515,0.569803035508223,1906,958,False
gyrB,,0.99,0.5695450977993863,1981,991,False
ileS,,0.9875,0.5690046450442647,1979,991,False
ygiQ,,0.9955,0.5683099231095236,1991,995,False
carB,,0.9785,0.5682113344896018,1959,983,False
osmF,,0.9495,0.5673612468243111,1898,946,False
rpfA,,0.8065,0.5673186002207192,1611,812,False
adh,,0.9895,0.5665772093403671,1978,990,False
hsdS,,0.997,0.566505963491794,1990,996,False
eccC4,,0.989,0.5663505209724821,1973,988,False
pncB1,,0.9745,0.5662627544277029,1945,975,False
yobV,,0.965,0.566221093881724,1930,973,False
egtB,,0.992,0.5661105154689513,1983,989,False
cya,,0.9635,0.5660369097042035,1924,940,False
pimC,,0.3695,0.565702614379085,735,255,False
pPE14,,0.956,0.5652554984133932,1912,962,False
kdpE,,0.9575,0.5650362699747686,1912,928,False
dapD,,0.9925,0.5649793231752323,1989,994,False
pqqL,,0.201,0.5649021521114543,401,143,False
guaA,,0.988,0.5644031878412283,1980,989,False
sapM,,0.998,0.5642726528604377,1992,996,False
cyp128,,0.985,0.5641092837539464,1969,989,False
lppP,,0.997,0.563871215279666,1993,994,False
ubiA,,0.996,0.5637208106732257,1992,997,False
ypfJ,,0.989,0.5633906101905415,1979,992,False
pPE28,,0.989,0.5631416695211028,1972,991,False
yjjB,,0.9675,0.5630511190641526,1935,965,False
vapB47,,0.3515,0.562869925137357,700,347,False
cas10,,0.9955,0.5624172429386568,1984,989,False
aTH1,,0.951,0.5623486366891896,1898,955,False
hpt,,0.994,0.5621788377370724,1987,992,False
tadA,,0.958,0.5619097282893587,1914,970,False
pPE68,,0.9815,0.5617569043532532,1961,986,False
mprB,,0.9755,0.5615985691070637,1947,980,False
lppB,,0.5845,0.5615877437325905,1168,450,False
lpqY,,0.998,0.5615588606932741,1994,996,False
murD,,0.9545,0.5615401431928732,1913,963,False
gmhB,,0.989,0.5614868184051088,1977,985,False
ripC,,0.985,0.5614848277350717,1968,987,False
rip2,,0.9915,0.5613213563119643,1980,991,False
gph,,0.838,0.5608719111901598,1674,833,False
ctpG,,0.9815,0.5599187408369986,1960,976,False
tam,,0.991,0.5598460743465381,1983,992,False
ansP1,,0.999,0.5598183718658483,1994,997,False
ppk,,0.949,0.5593571037854855,1893,955,False
cysNC,,0.99,0.5591989506367848,1978,991,False
eccD1,,0.9875,0.5589429098135766,1973,991,False
comEA,,0.986,0.5589224127236186,1967,983,False
nnr,,0.9035,0.5589093546226132,1804,895,False
pknL,,0.999,0.5588385019536054,1992,994,False
uvrD2,,0.98,0.5588118989563216,1958,981,False
ctpA,,0.9745,0.5587629191321498,1950,975,False
pdxI,,0.993,0.5586607434719315,1985,991,False
dop,,0.9965,0.5584846925390002,1991,995,False
tatB,,0.9945,0.5582118589167906,1991,997,False
echA12,,0.997,0.5577702958120593,1992,997,False
eccCb1,,0.997,0.5569517598020192,1992,995,False
mngB,,0.9245,0.556937742498631,1849,932,False
recC,,0.7835,0.5567626891506154,1568,807,False
espB,,0.719,0.5565920217289805,1438,747,False
eccB1,,0.9935,0.556416081928337,1985,993,False
aceA,,0.991,0.5562389346392489,1985,993,False
pPE32,,0.9775,0.556137337159592,1950,976,False
eccE2,,0.9855,0.5560664992171459,1968,986,False
ag85C,,0.996,0.5560165284252587,1991,995,False
dhaA,,0.989,0.5559275633743719,1977,987,False
lipJ,,0.9775,0.5558478563173669,1953,974,False
pE_PGRS11,,0.954,0.5555569027814826,1905,959,False
pE3,,0.9965,0.555550688209206,1993,997,False
yjiN,,0.997,0.5555245052426354,1993,997,False
icdM,,0.9965,0.5552250839549226,1991,992,False
ndhA,,0.9545,0.5552061495457721,1905,951,False
lpd,,0.992,0.5551582034059825,1980,991,False
pdc,,0.9855,0.5550238346775233,1970,985,False
bacA,,0.996,0.5550215868072759,1989,994,False
dnaE,,0.9935,0.554680492594119,1990,994,False
citA,,0.9775,0.5545821890855507,1955,979,False
gltX,,0.9915,0.5537614636142958,1987,991,False
glpR,,0.992,0.5536261397898306,1984,993,False
fadD2,,0.9955,0.5534692609014166,1991,994,False
marP,,0.9965,0.5533760915594168,1988,994,False
murJ,,0.9825,0.5533397079024629,1965,979,False
pPE12,,0.987,0.5525175863460761,1971,987,False
rip,,0.99,0.5524680153739504,1975,987,False
yhgE,,0.972,0.5521879231006191,1944,983,False
mfd,,0.9635,0.5517814194284782,1931,969,False
pta,,0.9925,0.5517122837527679,1989,995,False
vapC40,,0.998,0.5516650251657681,1994,997,False
metH,,0.9635,0.5511815631899522,1930,966,False
prcA,,0.997,0.5511480707894663,1992,994,False
mbtF,,0.989,0.5508114615742744,1975,989,False
eccD4,,0.9715,0.5505721969273372,1938,975,False
cyp124,,0.996,0.5503092773102461,1991,996,False
pheS,,0.991,0.5502466833662752,1984,995,False
espJ,,0.9325,0.5500080716764874,1863,953,False
clcA,,0.967,0.5497196475569287,1934,963,False
pPE26,,0.906,0.5497100498040777,1804,906,False
scoB,,0.998,0.5494594335771131,1992,995,False
ispH,,0.9785,0.5492771052974099,1960,985,False
ccdA,,0.9895,0.5492097877242869,1979,987,False
fadD17,,0.9935,0.5489949403358786,1982,991,False
pE_PGRS5,,0.5035,0.5488906428132948,1005,543,False
plsB,,0.9585,0.5488583684068351,1917,984,False
ephD,,0.99,0.5488247863247864,1978,988,False
leuA,,0.9115,0.5483236256859536,1824,940,False
cpaF,,0.965,0.548217948387872,1931,968,False
mmpL2,,0.977,0.5481066411909211,1952,982,False
galT,,0.7115,0.548054121775972,1424,742,False
pPE16,,0.6315,0.5479731264725174,1262,551,False
pPE62,,0.838,0.5479214780600461,1675,866,False
fadD4,,0.993,0.54783308469392,1986,997,False
aspB,,0.957,0.5477951981121602,1917,959,False
mmpL8,,0.995,0.5477915699123437,1987,991,False
hsaB,,0.9975,0.5476221105527639,1995,995,False
vapC6,,0.9805,0.5476101226176198,1960,976,False
sufD,,0.99,0.5475497528616025,1984,992,False
mmuM,,0.9925,0.5475439882697948,1982,992,False
ispE,,0.9855,0.5471031161820635,1978,990,False
ycjD,,0.964,0.5470870784822345,1927,968,False
dacB2,,0.9935,0.5470612469101895,1983,990,False
embA,,0.9875,0.5469414702316119,1973,988,False
tgs3,,0.4395,0.5469018567639257,877,377,False
cobM,,0.9805,0.5468312395805435,1963,982,False
zwf,,0.99,0.5468179205127368,1981,992,False
mazF3,,0.997,0.5465936903989065,1992,994,False
pepN,,0.9585,0.5464353256040811,1918,971,False
secY,,0.9895,0.5464238754854294,1981,991,False
frdA,,0.9925,0.5464202035214242,1985,993,False
spoVK,,0.989,0.5463796088962392,1977,988,False
dacB1,,0.9655,0.5462967160840851,1925,966,False
mmpL11,,0.984,0.5461558243848835,1968,989,False
topA,,0.991,0.5458246969252704,1989,995,False
whiB6,,0.98,0.5457220752228641,1958,976,False
fgd,,0.9965,0.5455940226770536,1992,996,False
sigM,,0.9875,0.5455460459659788,1975,987,False
espA,,0.9955,0.5454721264011921,1985,991,False
narH,,0.993,0.5453705621271739,1985,989,False
pPE11,,0.9525,0.5453603972220994,1902,962,False
eccA3,,0.9925,0.5453537390029325,1982,992,False
trcS,,0.996,0.5453014869903526,1988,994,False
lpqI,,0.999,0.5452334216097982,1998,999,False
xseA,,0.979,0.5451071272863164,1963,983,False
cyp51,,0.998,0.5450698830158818,1992,995,False
lysM,,0.942,0.5450397809231879,1884,944,False
pE_PGRS16,,0.374,0.5447802337306222,748,419,False
erp,,0.9525,0.5447124353506189,1902,961,False
ycaO,,0.977,0.5446137179723812,1953,976,False
moaR1,,0.987,0.5445557195907667,1967,983,False
pfkB,,0.9835,0.544338372278153,1967,981,False
recF,,0.99,0.5443359820933494,1981,992,False
ygaE,,0.973,0.5441484198150827,1946,967,False
virS,,0.998,0.5440902750139699,1995,996,False
pPE10,,0.9315,0.5440352032154118,1861,931,False
pPE4,,0.99,0.5440236124415625,1977,993,False
pPE69,,0.921,0.5439638682252923,1841,941,False
moxR1,,0.998,0.5438935099113891,1994,996,False
kasA,,0.985,0.543798018810127,1966,984,False
infB,,0.9885,0.543382862343498,1980,989,False
ygcG,,0.969,0.5433443256280549,1936,970,False
terC2,,0.994,0.5431973936654526,1984,992,False
splB,,0.9805,0.5431577523975951,1961,980,False
mptB,,0.9955,0.5431160300398777,1988,990,False
pimF,,0.9725,0.5431111939918963,1943,967,False
pPE30,,0.9375,0.5430746783514553,1869,946,False
mymA,,0.9475,0.5430537693468727,1893,957,False
coxL,,0.9865,0.5424677739879613,1972,986,False
rsmE,,0.9695,0.542311489143717,1936,971,False
pstP,,0.9025,0.5422786424354625,1803,919,False
chp2,,0.9975,0.5422751950708316,1990,995,False
chlI,,0.972,0.5420869130795115,1944,971,False
lipC,,0.998,0.5420671423680452,1996,999,False
idsA1,,0.995,0.5420425318297711,1984,991,False
ftsH,,0.966,0.5419372450782027,1933,970,False
htdX,,0.999,0.5416573146292585,1998,998,False
mmaA4,,0.9925,0.5416279242284285,1984,993,False
lpqO,,0.9715,0.5414770981447538,1943,973,False
rlmN,,0.919,0.5413266929922791,1843,950,False
devS,,0.9975,0.5412221589391291,1992,995,False
gmhA,,0.95,0.5410954122340426,1900,960,False
vapC10,,0.9965,0.5409188289945365,1990,993,False
mkl,,0.9965,0.5409111757382701,1992,997,False
pPE40,,0.586,0.5407482861776053,1169,582,False
nrdZ,,0.977,0.5406649589518551,1952,982,False
yqfO,,0.974,0.5404924370458003,1946,976,False
lppA,,0.4525,0.5403491730783978,906,355,False
modA,,0.9925,0.5403193027511805,1989,995,False
fadD11,,0.991,0.5402907030079402,1981,986,False
pE_PGRS29,,0.7815,0.5401723562643101,1560,783,False
drrB,,0.9975,0.5401592128981582,1993,995,False
secBL,,0.999,0.5400311557788945,1995,995,False
pknF,,0.9665,0.5398920687187598,1928,965,False
ctpE,,0.994,0.5397875489874908,1989,993,False
ureC,,0.972,0.5396075946024453,1946,975,False
vapC36,,0.9945,0.5395649709091537,1986,993,False
irtA,,0.994,0.5394534748479285,1987,991,False
xerC,,0.962,0.5394041222972552,1929,963,False
ansP,,0.9755,0.5393469423824673,1950,984,False
lON,,0.9945,0.5392961361425667,1990,993,False
pafC,,0.955,0.5391951972299156,1907,958,False
csm6,,0.6115,0.5388144806125977,1219,473,False
lgt,,0.983,0.5385324580688318,1970,987,False
hisB,,0.9925,0.5385158496637951,1990,997,False
fabG3,,0.9975,0.5384621200284269,1992,995,False
mycP5,,0.985,0.5383500154355199,1965,982,False
rarA,,0.9895,0.5382923874831733,1979,993,False
fprA,,0.9945,0.538249598091059,1989,994,False
hisJ,,0.9725,0.5380944979137456,1945,979,False
prpB,,0.9895,0.5380396037985984,1979,993,False
devR,,0.998,0.53800881602724,1995,997,False
cysW,,0.994,0.5379494182311084,1993,999,False
lpqT,,0.999,0.5378965762851002,1994,996,False
fadD26,,0.997,0.5377451203651692,1988,993,False
yidC,,0.9915,0.5377140487956563,1984,993,False
pimB,,0.992,0.537653207831126,1982,991,False
pknH,,0.9895,0.537639530881196,1976,992,False
tgs4,,0.9895,0.5375894188960262,1978,989,False
idsB,,0.653,0.5375661950083835,1304,549,False
ino1,,0.9865,0.5375505812337188,1971,986,False
vapC46,,0.991,0.5375235894433915,1977,988,False
eccE5,,0.9975,0.5375146103042583,1989,993,False
eccC2,,0.585,0.5374644935329971,1170,459,False
glnX,,0.995,0.5374430055615439,1988,995,False
cyp132,,0.9975,0.5370689959325211,1992,995,False
iniA,,0.9825,0.5370258726608607,1960,982,False
korB,,0.9955,0.5369672483018106,1990,995,False
ilvA,,0.972,0.5367894209222787,1949,976,False
nuoF,,0.988,0.5367138938083827,1979,993,False
amrS,,0.9965,0.5363475669806319,1990,995,False
gltB,,0.9925,0.5363328004279453,1987,994,False
pE_PGRS36,,0.4815,0.5362528560548362,960,505,False
esxV,,0.4985,0.5362377999746917,996,553,False
infC,,0.985,0.5361538911626217,1974,987,False
lppE,,0.997,0.5361059140413624,1992,994,False
fabD,,0.9205,0.5359637150857709,1844,934,False
betT,,0.993,0.5359333398173928,1987,991,False
mez,,0.996,0.5359157959807035,1990,994,False
dtd,,0.9895,0.5358351425455361,1981,991,False
yafJ,,0.9905,0.5358160412308675,1977,989,False
caeB,,0.978,0.5357946620523308,1953,978,False
citB,,0.988,0.5357446224949495,1977,991,False
eccD2,,0.943,0.5357258674737866,1885,957,False
lprB,,0.997,0.5356445843554761,1993,997,False
pPE15,,0.968,0.5352793763863144,1926,963,False
lolE,,0.388,0.5352726938850462,775,527,False
lys2b,,0.977,0.5351818120488431,1948,976,False
fes,,0.984,0.5351049304572851,1965,982,False
pPE49,,0.92,0.5349166072735333,1833,947,False
mbtG,,0.9975,0.5348437271613836,1992,995,False
cobT,,0.966,0.5348052259815863,1932,973,False
purT,,0.9705,0.5347701002672659,1939,963,False
dmpG,,0.984,0.5345770667392272,1970,984,False
pPE63,,0.9905,0.5345082134476075,1980,990,False
ntrY,,0.9735,0.5345037321417465,1948,979,False
ispH1,,0.99,0.5344300346326727,1977,993,False
dacB,,0.9905,0.5343719740288864,1981,991,False
cas1,,0.6095,0.5342684840833873,1216,474,False
msbA,,0.9655,0.5342034116511104,1931,975,False
nuoM,,0.9955,0.534171495439101,1993,999,False
ilvD,,0.987,0.5341650002563709,1975,990,False
yhbS,,0.9915,0.5341523356519298,1983,994,False
gndA,,0.989,0.5339600049123958,1977,992,False
apt,,0.984,0.53385568854931,1970,987,False
glnD,,0.938,0.5338286023544607,1877,903,False
alr,,0.9905,0.5337666767507161,1985,994,False
hdeD,,0.993,0.5336305753175454,1985,992,False
cut2,,0.995,0.533437374877152,1989,993,False
metG,,0.991,0.5334040087843823,1989,996,False
pknK,,0.939,0.5333028198330946,1878,927,False
secE,,0.9915,0.5332917100593512,1989,994,False
thiO,,0.9945,0.5328094856768464,1989,993,False
esxD,,0.993,0.5328054413481549,1985,995,False
sucD,,0.9915,0.5325974631220619,1987,992,False
mmpL3,,0.9835,0.5325751184775327,1967,984,False
rpsZ,,0.9965,0.532507225506289,1993,995,False
psd,,0.9895,0.5324816995869628,1978,988,False
cds1,,0.992,0.532451923076923,1980,988,False
hIS2,,0.982,0.5324336963751247,1962,970,False
fadE12,,0.9935,0.5324016652384018,1986,991,False
proC,,0.99,0.5322469191505016,1984,993,False
aroG,,0.9645,0.5322429312558709,1927,959,False
pPE65,,0.9565,0.532190677761008,1907,964,False
mmaE,,0.999,0.5321134236344175,1994,996,False
cmr,,0.9915,0.532101020715723,1982,996,False
nlhH,,0.974,0.5320951542817106,1947,978,False
rfbD,,0.966,0.5320874240574769,1932,973,False
cobK,,0.988,0.5319454709698612,1974,990,False
accD3,,0.979,0.531922974191179,1958,982,False
eccB2,,0.967,0.531754724051175,1933,975,False
mqo,,0.995,0.5317508063456113,1989,995,False
mptA,,0.9975,0.5317439212799691,1989,992,False
pcp,,0.995,0.5317043888798832,1987,992,False
dagK,,0.9965,0.5316820043995076,1991,995,False
modC,,0.9935,0.5315856936368016,1990,993,False
ctpB,,0.9935,0.5315405309375159,1985,990,False
lpqW,,0.994,0.5315088823606003,1983,991,False
nuoN,,0.9945,0.531446192183159,1992,998,False
fpg2,,0.9805,0.5313974461392516,1961,984,False
tyrA,,0.795,0.5313232035454258,1590,810,False
ppsC,,0.6705,0.5313085776620139,1341,690,False
divIVA,,0.9925,0.5313084629744234,1984,991,False
cinA,,0.991,0.5313032964623331,1985,992,False
araD,,0.975,0.5312573308268699,1950,979,False
dhmA1,,0.9955,0.5312199186889219,1990,995,False
csm3,,0.997,0.5311825636599051,1987,993,False
mrr,,0.997,0.5310993281351593,1992,997,False
lrpA,,0.998,0.5310242977929773,1993,997,False
ydhS,,0.993,0.5309711647249488,1981,990,False
thrC,,0.989,0.5309407519036341,1980,991,False
adhC,,0.9895,0.5309406117916756,1977,987,False
