gene_name,annotation,prevalence,lr_auroc_rifabutin,n_train,n_pos,kept_filtered
skfB,,0.987,0.5625029663334056,1969,990,False
pqqL,,0.2035,0.5621640598518232,407,214,False
ansA,,0.9425,0.5620476636641513,1884,963,False
dhaA,,0.9935,0.5614609102893786,1983,992,False
gp36,,0.3,0.5610968680709534,598,246,False
cstA,,0.994,0.5609978050118896,1984,994,False
cut3,,0.9965,0.5602404751087169,1986,994,False
citA,,0.9565,0.5600997252133212,1911,972,False
eccE1,,0.999,0.5599322941031484,1994,999,False
pPE68,,0.97,0.5598812014345487,1936,980,False
aftA,,0.976,0.5597331722584323,1948,981,False
mftR,,0.998,0.5595654159725073,1994,998,False
umaA,,0.989,0.5593046435874514,1973,990,False
fadD28,,0.994,0.5593032274307247,1985,992,False
pPE19,,0.662,0.5591168435976348,1322,717,False
plsB,,0.975,0.5588595431960639,1946,987,False
secBL,,0.999,0.5578614515463087,1993,998,False
sGA1,,0.9925,0.5578210761333391,1979,993,False
whiB6,,0.978,0.5576400808335302,1952,977,False
cmcI,,0.995,0.5573295644509286,1987,997,False
lolE,,0.399,0.5572811094503934,796,507,False
ykfC,,0.6,0.5571632247472564,1199,489,False
kdpD,,0.8995,0.557086594803623,1804,878,False
vapC36,,0.9965,0.5568380216330121,1988,997,False
iniR,,0.9455,0.5564994369369368,1885,960,False
rskA,,0.9955,0.556382149999899,1991,998,False
lppA,,0.4615,0.5561579535816176,921,393,False
plcC,,0.949,0.5559665686945551,1892,974,False
sigM,,0.9775,0.555788168279892,1951,985,False
mmuM,,0.989,0.5557661227469994,1975,991,False
mmpL11,,0.9675,0.5550742521367522,1935,975,False
aTH1,,0.91,0.5548713448153972,1813,943,False
lipC,,0.9975,0.5546293188181778,1995,998,False
moxR1,,0.9955,0.5545878068726519,1988,996,False
far,,0.9965,0.554380532903057,1986,997,False
fadD17,,0.995,0.553423420124266,1983,996,False
espJ,,0.9005,0.5534181348629891,1797,942,False
pPE49,,0.905,0.5531749111493,1804,945,False
pPE26,,0.8895,0.5531474492435267,1773,919,False
cpnT,,0.9295,0.5522910656800034,1856,938,False
lpqI,,0.9975,0.5520595897101921,1995,999,False
narH,,0.9945,0.5517994832461904,1983,995,False
purL,,0.988,0.5514338556592078,1984,994,False
pPE11,,0.902,0.551265426910069,1800,932,False
fabD,,0.887,0.5511823537158602,1778,914,False
ripC,,0.9775,0.5510645670220138,1949,987,False
lipR,,0.92,0.5509174785692155,1836,937,False
ubiA,,0.9925,0.5501759567522141,1990,998,False
vapC37,,0.995,0.5499459922602442,1985,996,False
recX,,0.989,0.5494660062388911,1976,991,False
adh,,0.985,0.549194837707539,1968,986,False
hpt,,0.9965,0.5491139608736758,1990,996,False
recC,,0.7725,0.5490553880384389,1544,777,False
scoB,,0.9975,0.548572261777907,1991,999,False
proV,,0.9745,0.548467958031694,1945,982,False
dop,,0.999,0.5483719455039111,1990,998,False
espA,,0.993,0.5483499984679652,1979,994,False
yjiN,,0.996,0.5481361713325641,1988,998,False
proB,,0.892,0.5478823603185552,1787,925,False
mmpS1,,0.9335,0.5475115463879587,1865,937,False
fadE5,,0.998,0.5472322874529495,1996,999,False
ydbT,,0.89,0.547160663766617,1778,926,False
fabG3,,0.995,0.5469940612151667,1985,995,False
ilvD,,0.9795,0.5466306283017216,1959,988,False
tgs3,,0.4635,0.5465870182851316,926,371,False
eccB2,,0.9395,0.5465420081967214,1875,960,False
eccCb1,,0.998,0.5464220514572982,1992,999,False
pPE37,,0.3385,0.5463861014538559,674,226,False
pPE62,,0.7785,0.5463410991636799,1554,810,False
idsA1,,0.994,0.5463281206998831,1981,994,False
ogt,,0.9965,0.5460596168731434,1987,996,False
fadD30,,0.54,0.5457882356285488,1077,446,False
tdh,,0.99,0.5453772310463403,1977,992,False
clcA,,0.963,0.5453750384177806,1926,971,False
cYB5,,0.64,0.5451916582235732,1278,564,False
dhmA1,,0.998,0.5451624837324736,1992,999,False
murD,,0.9115,0.5450485796777723,1824,941,False
frdA,,0.9895,0.5448072416157521,1977,987,False
secD,,0.9895,0.544473887656908,1983,995,False
espG2,,0.981,0.5441776433860048,1958,986,False
argH,,0.9655,0.5440140619117697,1934,976,False
ycaO,,0.9725,0.5437490842140805,1941,978,False
pknH,,0.9915,0.5437181850433026,1978,987,False
dnaE2,,0.9145,0.5435283265709686,1822,935,False
pPE12,,0.98,0.5431511638374082,1955,989,False
pE_PGRS62,,0.98,0.5427635779069498,1955,982,False
htdY,,0.9355,0.5426506715131245,1864,951,False
trmI,,0.997,0.542475251842484,1986,997,False
osmF,,0.9065,0.5424101456091872,1808,932,False
pPE4,,0.9745,0.54231042001863,1944,980,False
acyP,,0.984,0.5422266816003982,1964,990,False
pssA,,0.926,0.5418403351180868,1855,947,False
pE_PGRS18,,0.1605,0.5418316639490643,321,162,False
mngB,,0.8775,0.5418235596506473,1753,919,False
ispH,,0.977,0.5417055408157742,1960,986,False
ppsC,,0.7875,0.5416341943518258,1578,775,False
mmpL2,,0.9795,0.5414215253981054,1952,984,False
desA3,,0.99,0.5411960370908645,1977,997,False
uvrD2,,0.957,0.5410928215869455,1911,967,False
ppk,,0.945,0.5410677537161872,1885,937,False
gndA,,0.9945,0.5410424526388381,1986,996,False
ureC,,0.954,0.541034411288315,1910,967,False
mmaE,,0.9985,0.5408698492462312,1995,1000,False
accD2,,0.9535,0.5408138126991281,1903,964,False
tal,,0.9925,0.540798702668495,1986,998,False
psd,,0.9875,0.5406610317163969,1972,993,False
hsdS,,0.997,0.5404943825213367,1991,998,False
mqo,,0.993,0.5404927791975984,1986,996,False
punA,,0.9565,0.5404181776351107,1911,970,False
ydhS,,0.9935,0.5402460308409159,1982,994,False
ycjD,,0.9175,0.5401500512893915,1832,942,False
kdpE,,0.961,0.5399885442292367,1923,931,False
alr,,0.9935,0.5398799607246622,1994,998,False
pPE69,,0.8695,0.5397777671229592,1735,909,False
kdpA,,0.9895,0.5396016116739227,1980,991,False
gmhB,,0.988,0.5395501191271741,1974,987,False
topA,,0.9935,0.5394319826776289,1992,998,False
frsA,,0.9485,0.539341932199075,1893,962,False
ansP,,0.9745,0.539128821043816,1945,981,False
mkl,,0.996,0.5390813758050309,1990,996,False
ino1,,0.991,0.5389518507726675,1978,993,False
mpt70,,0.9915,0.5388609662045594,1976,994,False
lgt,,0.9745,0.5385574359082035,1952,982,False
yhgE,,0.974,0.5385020413197268,1948,969,False
atsB,,0.9875,0.5384954479130274,1973,988,False
yjqB,,0.9805,0.5384859282522044,1960,986,False
dnaE,,0.9935,0.5382697387938463,1991,997,False
mrr,,0.9985,0.5379194001685463,1992,998,False
murJ,,0.966,0.5377709279966425,1933,977,False
glpX,,0.9875,0.5377472959584921,1979,994,False
accA1,,0.9755,0.5376511618090877,1947,980,False
papA3,,0.998,0.5375307065744391,1990,998,False
mmpL6,,0.9495,0.5374810007989123,1897,979,False
cyp142,,0.996,0.5374550050556118,1989,1000,False
mmpL8,,0.996,0.5372896999317152,1987,994,False
hutI,,0.401,0.5371191043985162,806,510,False
mmpL7,,0.9945,0.5370814719409358,1986,995,False
hsdM,,0.994,0.5370010172031178,1985,994,False
mltG,,0.9955,0.5368930266520627,1986,996,False
xseA,,0.9745,0.5368006754630699,1953,988,False
ppsE,,0.9325,0.5367450750899452,1862,951,False
pstP,,0.8835,0.5365364360010403,1763,902,False
pE_PGRS29,,0.7465,0.5363406136019202,1489,796,False
dut,,0.9915,0.5362653850995489,1985,996,False
lppC,,0.992,0.5360719086021506,1982,990,False
sepF,,0.997,0.5359345912864475,1990,997,False
ag85C,,0.9975,0.5359249812061055,1995,999,False
papA1,,0.992,0.5358723028746867,1979,993,False
nagD,,0.4155,0.5358452766219757,830,515,False
damX,,0.903,0.535839752971658,1800,932,False
echA12,,0.997,0.5357472245598951,1991,998,False
metG,,0.9935,0.5355994185139914,1994,999,False
xylB,,0.974,0.5355431963788669,1946,981,False
lipJ,,0.9795,0.5352808570136807,1955,976,False
hisJ,,0.9635,0.5352055371847241,1924,970,False
lys2b,,0.9575,0.5350558149555064,1908,972,False
yafJ,,0.9895,0.5348879465124372,1974,993,False
clpC,,0.991,0.5348542917426891,1981,995,False
ndhA,,0.958,0.5347987673714689,1912,977,False
nlhH,,0.9595,0.534797965927321,1916,972,False
csm3,,0.9965,0.5347676830164952,1986,995,False
esxB,,0.996,0.5344041618590717,1988,998,False
glnD,,0.943,0.5343826562364601,1886,917,False
pccA,,0.9505,0.5343375823355291,1898,974,False
fhaA,,0.998,0.5342757056451612,1992,1000,False
gltX,,0.9915,0.5342702799087369,1987,996,False
argC,,0.9485,0.5341372354065311,1901,967,False
trcS,,0.998,0.5338532048992244,1991,998,False
ytcJ,,0.9005,0.5338036862832242,1801,930,False
fadD4,,0.9935,0.5337145757601547,1987,996,False
cya,,0.965,0.5336797461797462,1926,936,False
pirG,,0.228,0.5334937903148167,456,221,False
lipN,,0.997,0.5334248557538036,1991,998,False
mtc28,,0.9815,0.5333580723574762,1959,988,False
ctpG,,0.9735,0.5332928164138072,1942,976,False
rpsI,,0.9915,0.5332838893261488,1991,995,False
aceA,,0.9895,0.5330879358097099,1982,992,False
glnX,,0.9935,0.5330052690144351,1984,995,False
kdpC,,0.994,0.5328831224507541,1989,998,False
ureH,,0.997,0.5328385875477037,1991,998,False
lpqA,,0.9975,0.5328024080208043,1989,996,False
pE15,,0.9875,0.5327995707888817,1969,989,False
vapB21,,0.995,0.532765642729778,1987,995,False
aao,,0.9935,0.5327381921161419,1983,992,False
pE_PGRS11,,0.921,0.5327327167081704,1837,937,False
mycP5,,0.9685,0.5327111082650273,1936,976,False
metH,,0.965,0.5324701829519785,1935,981,False
eccD2,,0.921,0.5324253393129024,1838,943,False
dapD,,0.994,0.5323768685087522,1989,997,False
pPE33,,0.9945,0.5323262297012495,1985,997,False
gspF,,0.87,0.5323209477226266,1744,913,False
ccdA,,0.9865,0.5322523221816865,1966,991,False
panE,,0.9545,0.5321642845941521,1910,967,False
lpqT,,0.9985,0.5320852973552739,1992,998,False
rffA,,0.966,0.5320478225907022,1929,973,False
sucB,,0.9955,0.5320433248144092,1986,996,False
pPE61,,0.941,0.5318306986231515,1879,954,False
betT,,0.9955,0.5317980150127802,1989,997,False
galT,,0.6925,0.5317699946323136,1384,736,False
pPE65,,0.9215,0.5316070005313497,1837,941,False
chp1,,0.9965,0.5315936123526364,1988,996,False
fpg2,,0.959,0.5313982387005834,1915,972,False
deaD,,0.994,0.5313963144494211,1985,997,False
mgtC,,0.993,0.531353031555355,1986,995,False
nuoM,,0.9955,0.5313127197549308,1994,999,False
mmpL1,,0.9165,0.5313109161793372,1830,918,False
gph,,0.8095,0.531303320645754,1619,817,False
eis,,0.9735,0.5312623683370572,1939,975,False
nuoN,,0.993,0.5311691121752353,1989,997,False
yhbS,,0.9905,0.5311272386272131,1981,995,False
fadD2,,0.9965,0.530889243275283,1992,994,False
lpqB,,0.994,0.530688984451456,1985,996,False
ripA,,0.997,0.5305653435693759,1991,999,False
lppQ,,0.997,0.5304637482457524,1989,996,False
hsaA,,0.992,0.5304300160339461,1986,997,False
cmr,,0.99,0.5304066041121879,1975,990,False
htrA,,0.9775,0.5303284161197264,1952,978,False
vapC10,,0.996,0.530199890581942,1987,995,False
htpG,,0.996,0.5300007645813716,1994,998,False
devS,,0.995,0.5299381460863886,1986,997,False
malQ,,0.9735,0.5298144417704719,1948,979,False
purT,,0.968,0.5296689646006697,1932,978,False
murF,,0.9925,0.5296443088606363,1986,998,False
embA,,0.976,0.5295983454399985,1948,979,False
fadD22,,0.9915,0.5295630711842063,1980,993,False
ctpA,,0.9685,0.5294922384642011,1938,975,False
gyrB,,0.9925,0.5294293039520338,1986,998,False
ygiQ,,0.9965,0.5292185297079557,1993,1000,False
embR,,0.9965,0.5291264346875569,1988,998,False
sapM,,0.999,0.5291158761569996,1996,999,False
cut2,,0.995,0.5290375677081801,1986,997,False
lrpA,,0.999,0.5289819277108433,1996,1000,False
rarA,,0.994,0.5288921104031901,1985,996,False
eccA1,,0.9965,0.5288397177806673,1989,998,False
walK,,0.9735,0.5288172611577232,1941,978,False
der,,0.9505,0.52880206385179,1907,967,False
rpsO,,0.9925,0.5286078278717532,1989,995,False
pdxI,,0.995,0.528557665003448,1986,996,False
cgoX,,0.886,0.5285131647808277,1763,917,False
pyrG,,0.994,0.5283152924744569,1988,995,False
dmpG,,0.9775,0.5282013003305943,1952,983,False
bioB,,0.9915,0.5281444347661889,1985,998,False
sppA,,0.98,0.5279589420974564,1961,983,False
mas,,0.9025,0.5278932759723101,1802,911,False
bacA,,0.9965,0.527864196134204,1990,998,False
celA1,,0.948,0.5277658532659002,1892,966,False
arcA,,0.9975,0.5277024426754583,1990,997,False
lppL,,0.999,0.5276923418796167,1990,997,False
eccE2,,0.9905,0.5276758847972489,1977,997,False
eccD4,,0.9595,0.5276626193584217,1913,971,False
lpqY,,0.9975,0.527614395424688,1990,999,False
mutA,,0.943,0.5274738669273015,1883,961,False
btlA,,0.994,0.5274440342303506,1984,997,False
lysX2,,0.9895,0.5273988617135825,1975,990,False
fadA,,0.9715,0.5273831802577805,1938,979,False
eccE5,,0.9965,0.5273134610849475,1988,999,False
rlmN,,0.9335,0.527217035243133,1875,952,False
mfd,,0.932,0.5271742236670942,1871,954,False
dhmA2,,0.997,0.5271163300397171,1991,999,False
pE_PGRS8,,0.7495,0.5271001690738193,1495,768,False
vapC1,,0.999,0.52704476861167,1994,1000,False
gltD,,0.995,0.5269262035675791,1989,998,False
ppsB,,0.8645,0.5268302180685357,1726,856,False
mET17,,0.99,0.5268279729136238,1979,994,False
rpsA,,0.992,0.5267854883683271,1988,993,False
lppV,,0.9955,0.5265895427218072,1988,998,False
folD,,0.978,0.5265191314245687,1959,987,False
argJ,,0.976,0.5264965503671515,1955,984,False
ileS,,0.9895,0.5264666868755505,1983,994,False
tra5,,0.8975,0.5262295799938684,1788,885,False
miaA,,0.9765,0.5262211695473208,1958,985,False
cds1,,0.9855,0.5261911506840252,1967,991,False
tig,,0.9945,0.5260611322432694,1994,997,False
modA,,0.995,0.5260024787352995,1990,997,False
glxK,,0.889,0.5259736865922976,1772,909,False
oPT,,0.989,0.5259613554893823,1972,987,False
ctpB,,0.991,0.5257141370359487,1980,996,False
fadD1,,0.9875,0.5257113142357676,1970,978,False
infB,,0.9945,0.5257040960558549,1994,999,False
vapC12,,0.9935,0.525691508427218,1982,996,False
plcD,,0.2885,0.5255188408887941,576,199,False
nuoI,,0.9945,0.525508259980726,1992,998,False
nadC,,0.9945,0.5252224055040957,1993,999,False
glpR,,0.9955,0.5252181519381911,1990,997,False
pepN,,0.946,0.525213712598893,1889,966,False
virS,,0.999,0.5252066136488248,1994,999,False
vapB47,,0.3575,0.5250690678399673,714,337,False
fprB,,0.945,0.5249962955146541,1888,962,False
hflX,,0.9795,0.5249189055778859,1964,986,False
fadD5,,0.988,0.5248103569101392,1976,998,False
accE5,,0.5725,0.5247810440921089,1145,479,False
nadB,,0.974,0.5247608577530106,1949,977,False
ripB,,0.999,0.5247521618003546,1995,999,False
ahpD,,0.9945,0.5247115970267298,1990,997,False
cobK,,0.991,0.524709044540801,1981,994,False
nit2,,0.977,0.5246901879512389,1949,981,False
coxL,,0.9855,0.5246818106928083,1971,995,False
rfbD,,0.936,0.5246377358965642,1870,957,False
ldcC,,0.984,0.5245909962182045,1965,995,False
arfA,,0.9995,0.524579739217653,1997,1000,False
espG,,0.9955,0.5245761046202976,1987,996,False
phoP,,0.9975,0.5245561616687554,1991,998,False
sdhC,,0.9945,0.5245129667820431,1995,999,False
mymA,,0.951,0.5245074035210446,1898,953,False
mprA,,0.999,0.5243219618695444,1993,997,False
splB,,0.9795,0.5242997412883672,1955,979,False
iniA,,0.9685,0.5242587716757114,1931,978,False
tra8,,0.9965,0.5242324756527648,1989,997,False
mmaA1,,0.997,0.5241221150889855,1992,997,False
fprA,,0.9905,0.5241078099253905,1977,995,False
cas10,,0.9975,0.5239916318499805,1988,996,False
pE3,,0.993,0.5238906811435317,1986,997,False
gadA,,0.9925,0.5238626139941929,1978,990,False
ispF,,0.997,0.5238545501465708,1992,998,False
secY,,0.994,0.5237223110206981,1991,999,False
ruvA,,0.967,0.5235333403634573,1938,981,False
dinP,,0.927,0.52352689858601,1849,944,False
pks18,,0.997,0.5234393028481205,1988,998,False
eccC3,,0.975,0.5234333200102355,1945,978,False
lpd,,0.997,0.5233989277027628,1990,996,False
irtA,,0.994,0.5233670554811644,1982,997,False
