locus_tag	display_name	product	pos	is_regulator	mobile_element	replicates_invasion	blood_sig	blood_beta	blood_ve	blood_consequence	blood_location	blood_lineage	resp_sig	resp_beta	resp_ve	resp_consequence	resp_location	resp_lineage	hotspot_contrast	hotspot_verdict	hotspot_SR_nonsyn	hotspot_SR_syn
KPN_RS20330	hofQ	DNA uptake porin HofQ	4106541.0	False	False	False	True	-0.306	2.134142686843374	synonymous	in	SL35	False									
KPN_RS01695	lysophospholipid acyltransferase family protein	lysophospholipid acyltransferase family protein	355609.0	False	False	False	True	-0.58	1.956782057831325	missense	in	SL307	True	-0.55	2.1239581927710844	missense	in					
KPN_RS10315	ABC transporter substrate-binding protein	ABC transporter substrate-binding protein	2113800.0	False	False	False	True	-0.586	1.9840896821847391	synonymous	in	SL307	True	-0.55	2.1239581927710844	synonymous	in					
KPN_RS22665	alpha-galactosidase	alpha-galactosidase	4601529.0	False	False	False	True	-0.586	1.9840896821847391	missense	in	SL307	True	-0.55	2.1239581927710844	missense	in		respiratory_vs_faeces	LoF-specific	1.0	0.96
KPN_RS10410	peptidase U32 family protein	peptidase U32 family protein	2130588.0	False	False	False	True	-0.303	2.0957432159638554	synonymous	in	SL35	False									
KPN_RS01560	ecpR	ECP biosynthesis operon DNA-binding transcriptional regulator EcpR	329862.0	True	False	False	True	-0.53	1.5791724192771088	missense	in	SL258	True	-0.563	2.090354544413654	missense	in					
KPN_RS10665	FUSC family protein	FUSC family protein	2179794.0	False	False	False	True	-0.299	2.0376189750361444	missense	in	SL35	False									
KPN_RS00470	ftsL	cell division protein FtsL	102781.0	False	False	False	True	-0.298	2.0302819849638554	missense	in	SL35	False									
KPN_RS05165	asnS	asparagine--tRNA ligase	1089691.0	False	False	False	True	-0.542	1.9145095385542177	noncoding	intergenic	SL258	True	-0.519	2.005905404493976	noncoding	intergenic					
KPN_RS04530	glnH	glutamine ABC transporter substrate-binding protein GlnH	936994.0	False	False	False	True	-0.297	1.9823909990963853	noncoding	intergenic	other	False									
KPN_RS01500	proA	glutamate-5-semialdehyde dehydrogenase	317893.0	False	False	False	True	-0.144	1.9679296771084336	synonymous	in		False									
KPN_RS00380	sugar efflux transporter	sugar efflux transporter	82611.0	False	False	False	True	-0.561	1.781587551289157	missense	in	SL258	True	-0.536	1.9615405542811248	missense	in					
KPN_RS06110	rluE	23S rRNA pseudouridine(2457) synthase RluE	1298812.0	False	False	False	True	-0.561	1.781587551289157	noncoding	intergenic	SL258	True	-0.536	1.9615405542811248	noncoding	intergenic					
KPN_RS09755	pqqB	pyrroloquinoline quinone biosynthesis protein PqqB	1999250.0	False	False	False	True	-0.549	1.7179421239518071	missense	in	SL258	True	-0.536	1.9615405542811248	missense	in					
KPN_RS14130	SulP family inorganic anion transporter	SulP family inorganic anion transporter	2888315.0	False	False	False	True	-0.561	1.781587551289157	missense	in	SL258	True	-0.536	1.9615405542811248	missense	in					
KPN_RS17645	fimbrial biogenesis usher protein	fimbrial biogenesis usher protein	3611943.0	False	False	False	True	-0.567	1.8073569309397592	missense	in	SL258	True	-0.536	1.9615405542811248	missense	in					
KPN_RS18015	aspartate dehydrogenase	aspartate dehydrogenase	3684475.0	False	False	False	True	-0.561	1.781587551289157	synonymous	in	SL258	True	-0.536	1.9615405542811248	synonymous	in					
KPN_RS18040	NAD(P)/FAD-dependent oxidoreductase	NAD(P)/FAD-dependent oxidoreductase	3688036.0	False	False	False	True	-0.561	1.781587551289157	missense	in	SL258	True	-0.536	1.9615405542811248	missense	in					
KPN_RS18055	SDR family oxidoreductase	SDR family oxidoreductase	3691585.0	False	False	False	True	-0.561	1.781587551289157	missense	in	SL258	True	-0.536	1.9615405542811248	missense	in					
KPN_RS18070	Rieske (2Fe-2S) protein	Rieske (2Fe-2S) protein	3693157.0	False	False	False	True	-0.561	1.781587551289157	missense	in	SL258	True	-0.536	1.9615405542811248	missense	in					
KPN_RS18075	MFS transporter	MFS transporter	3693942.0	False	False	False	True	-0.561	1.781587551289157	missense	in	SL258	True	-0.536	1.9615405542811248	missense	in					
KPN_RS22085	MFS transporter	MFS transporter	4482783.0	False	False	False	True	-0.561	1.781587551289157	missense	in	SL258	True	-0.536	1.9615405542811248	missense	in					
KPN_RS32210	pqqF	pyrroloquinoline quinone biosynthesis protein PqqF	2002195.0	False	False	False	True	-0.546	1.7224687523855426	synonymous	in	SL258	True	-0.524	1.9066204571244985	synonymous	in		resp_vs_rest	functional(non-syn)	1.27	0.96
KPN_RS22355	atpB	F0F1 ATP synthase subunit A	4538552.0	False	False	False	True	-0.151	1.8738118196787148	synonymous	in		False									
KPN_RS09785	mrdA	penicillin-binding protein 2	2005646.0	False	False	False	True	-0.534	1.6809304885301208	synonymous	in	SL258	True	-0.517	1.866376035819277	synonymous	in					
KPN_RS04215	MerR family transcriptional regulator	MerR family transcriptional regulator	870040.0	True	False	False	True	-0.551	1.7186389283172694	missense	in	SL258	True	-0.519	1.8495299853975904	missense	in					
KPN_RS30610	thyA	thymidylate synthase	3550979.0	False	False	False	False						True	0.445	1.7339283725903616	noncoding	intergenic	SL258				
KPN_RS12315	LysR substrate-binding domain-containing protein	LysR substrate-binding domain-containing protein	2502366.0	False	False	False	True	-0.537	1.6886332747951809	synonymous	in	SL258	True	-0.482	1.6672055414618474	synonymous	in					
KPN_RS25200	sugar phosphate isomerase/epimerase family protein	sugar phosphate isomerase/epimerase family protein	5115560.0	False	False	False	True	-0.27	0.5962974072289157	missense	in	SL307	True	-0.433	1.6632488025542167	missense	in	other				
KPN_RS07540	glycoside hydrolase family 19 protein	glycoside hydrolase family 19 protein	1565603.0	False	False	False	True	-0.364	0.9661964835341366	synonymous	in		True	-0.463	1.6543294799036146	synonymous	in					
KPN_RS04610	LacI family DNA-binding transcriptional regulator	LacI family DNA-binding transcriptional regulator	954072.0	True	False	False	False						True	-0.425	1.6231288930722891	missense	in					
KPN_RS09810	zapE	cell division protein ZapE	2012713.0	False	False	False	True	-0.298	1.6135847289156628	synonymous	in	other	False									
KPN_RS10235	MsnO8 family LLM class oxidoreductase	MsnO8 family LLM class oxidoreductase	2097572.0	False	False	False	True	-0.358	1.5316632576867473	synonymous	in	other	False									
KPN_RS16900	fucP	L-fucose:H+ symporter permease	3461139.0	False	False	False	False						True	-0.216	1.517665154313253	noncoding	intergenic	other				
KPN_RS07380	DUF4060 family protein	DUF4060 family protein	1544406.0	False	False	False	False						True	0.336	1.4764579685783137	synonymous	in	SL258				
KPN_RS10725	MFS transporter	MFS transporter	2189360.0	False	False	False	True	-0.396	1.4151856771084337	synonymous	in	SL76	False									
KPN_RS25250	tRNA-Leu	tRNA-Leu	5125627.0	False	False	False	True	0.376	0.6953110145542168	noncoding	intergenic	SL258	True	-0.186	1.3926070987951809	noncoding	intergenic	other				
KPN_RS25170	iolB	5-deoxy-glucuronate isomerase	5107598.0	False	False	False	True	0.119	1.355452247389558	noncoding	intergenic		False									
KPN_RS16285	srlA	PTS glucitol/sorbitol transporter subunit IIC	3332623.0	False	False	False	False						True	0.338	1.343764539052209	noncoding	intergenic					
KPN_RS04985	dmsA	dimethylsulfoxide reductase subunit A	1041105.0	False	False	False	True	-0.442	1.341439837493976	LoF	in	other	False									
KPN_RS08225	abgT	p-aminobenzoyl-glutamate transporter	1702463.0	False	False	False	True	-0.442	1.341439837493976	missense	in	other	False									
KPN_RS04840	lipoprotein	lipoprotein	1003531.0	False	False	False	True	-0.439	1.3083480399036147	noncoding	intergenic	other	False									
KPN_RS07825	phytanoyl-CoA dioxygenase family protein	phytanoyl-CoA dioxygenase family protein	1619024.0	False	False	False	True	-0.438	1.3023942453975903	synonymous	in	other	False									
KPN_RS22485	dsbA	thiol:disulfide interchange protein DsbA	4566732.0	False	False	False	True	-0.436	1.2905273893012048	synonymous	in	other	False									
KPN_RS04250	efflux RND transporter periplasmic adaptor subunit	efflux RND transporter periplasmic adaptor subunit	877750.0	False	False	False	True	-0.437	1.289047652493976	missense	in	other	False									
KPN_RS04260	cation-transporting P-type ATPase	cation-transporting P-type ATPase	879878.0	False	False	False	True	-0.437	1.289047652493976	missense	in	other	False									
KPN_RS04515	ybiO	mechanosensitive channel protein	933106.0	False	False	False	True	-0.437	1.289047652493976	missense	in	other	False									
KPN_RS07060	alpha/beta hydrolase	alpha/beta hydrolase	1475019.0	False	False	False	True	-0.437	1.289047652493976	synonymous	in	other	False									
KPN_RS10120	nitrate reductase subunit alpha	nitrate reductase subunit alpha	2074558.0	False	False	False	True	-0.437	1.289047652493976	synonymous	in	other	False									
KPN_RS12105	VasL domain-containing protein	VasL domain-containing protein	2462354.0	False	False	False	True	-0.437	1.289047652493976	missense	in	other	False									
KPN_RS12280	cold-shock protein	cold-shock protein	2495291.0	False	False	False	True	-0.437	1.289047652493976	missense	in	other	False									
KPN_RS14180	gyrA	DNA topoisomerase (ATP-hydrolyzing) subunit A	2905176.0	False	False	False	True	-0.437	1.289047652493976	missense	in	other	False									
KPN_RS14900	RpoE-regulated lipoprotein	RpoE-regulated lipoprotein	3043995.0	False	False	False	True	-0.437	1.289047652493976	missense	in	other	False									
KPN_RS16450	flhA	formate hydrogenlyase transcriptional activator FlhA	3363871.0	True	False	False	True	-0.437	1.289047652493976	missense	in	other	False									
KPN_RS21010	cellulose biosynthesis protein BcsC	cellulose biosynthesis protein BcsC	4262344.0	False	False	False	True	-0.437	1.289047652493976	missense	in	other	False									
KPN_RS07860	phytanoyl-CoA dioxygenase family protein	phytanoyl-CoA dioxygenase family protein	1626555.0	False	False	False	True	-0.436	1.2831548709397589	synonymous	in	other	False									
KPN_RS14135	mgtE	magnesium transporter	2889573.0	False	False	False	True	-0.433	1.2728289374457833	missense	in	other	False									
KPN_RS19825	aroQ	type II 3-dehydroquinate dehydratase	4025619.0	False	False	False	False						True	-0.559	1.2669862155662657	synonymous	in					
KPN_RS12285	LysR family transcriptional regulator	LysR family transcriptional regulator	2495761.0	True	False	False	True	-0.422	1.2227891117108434	synonymous	in	other	False									
KPN_RS13890	CidB/LrgB family autolysis modulator	CidB/LrgB family autolysis modulator	2834344.0	False	False	False	True	-0.468	1.1885623234698797	noncoding	intergenic		False									
KPN_RS08630	DeoR/GlpR family DNA-binding transcription regulator	DeoR/GlpR family DNA-binding transcription regulator	1783634.0	True	False	False	False						True	-0.108	1.1558649253012043	synonymous	in					
KPN_RS11945	NarK family nitrate/nitrite MFS transporter	NarK family nitrate/nitrite MFS transporter	2428089.0	False	False	False	False						True	-0.251	1.1424495073253014	noncoding	intergenic	other				
KPN_RS02990	nfsB	oxygen-insensitive NAD(P)H nitroreductase	621053.0	False	False	False	True	-0.41	1.1412005204819278	LoF	in	other	True	0.461	0.9285204654618474	LoF	in	SL258				
KPN_RS02140	hupB	nucleoid-associated protein HU-beta	445412.0	False	False	False	True	-0.401	1.1290400044819278	missense	in	other	False									
KPN_RS07405	RecE family exodeoxyribonuclease	RecE family exodeoxyribonuclease	1547695.0	False	False	False	False						True	0.456	1.112144443373494	synonymous	in	SL258	resp_vs_rest	mixed/weak	1.26	1.13
KPN_RS01145	gmhB	D-glycero-beta-D-manno-heptose 1%2C7-bisphosphate 7-phosphatase	249307.0	False	False	False	False						True	-0.122	1.1056899196787149	noncoding	intergenic	other				
KPN_RS21735	nlpA	lipoprotein NlpA	4416116.0	False	False	False	False						True	-0.109	1.1006816060240965	noncoding	intergenic					
KPN_RS23480	rplK	50S ribosomal protein L11	4767202.0	False	False	False	True	-0.42	1.0947787807228913	noncoding	intergenic		False									
KPN_RS21895	carbohydrate porin	carbohydrate porin	4446191.0	False	False	False	True	-0.118	1.073204881927711	synonymous	in	other	True	0.114	0.5786664722891567	synonymous	in	SL258				
KPN_RS00175	citC	[citrate (pro-3S)-lyase] ligase	37027.0	False	False	False	False						True	0.477	1.0387521243975903	missense	in	SL258				
KPN_RS02365	acrR	multidrug efflux transporter transcriptional repressor AcrR	489211.0	True	False	False	False						True	0.477	1.0387521243975903	noncoding	intergenic	SL258				
KPN_RS03630	filamentous hemagglutinin N-terminal domain-containing protein	filamentous hemagglutinin N-terminal domain-containing protein	765649.0	False	False	False	False						True	0.477	1.0387521243975903	synonymous	in	SL258				
KPN_RS04940	cydC	heme ABC transporter ATP-binding protein/permease CydC	1027891.0	False	False	False	False						True	0.477	1.0387521243975903	synonymous	in	SL258				
KPN_RS11085	3-hydroxybutyrate dehydrogenase	3-hydroxybutyrate dehydrogenase	2252766.0	False	False	False	False						True	0.477	1.0387521243975903	missense	in	SL258				
KPN_RS13595	MdtB/MuxB family multidrug efflux RND transporter permease subunit	MdtB/MuxB family multidrug efflux RND transporter permease subunit	2766737.0	False	False	False	False						True	0.477	1.0387521243975903	LoF	in	SL258				
KPN_RS13710	thiD	bifunctional hydroxymethylpyrimidine kinase/phosphomethylpyrimidine kinase	2796074.0	False	False	False	False						True	0.477	1.0387521243975903	noncoding	intergenic	SL258				
KPN_RS13875	carbohydrate porin	carbohydrate porin	2830692.0	False	False	False	False						True	0.477	1.0387521243975903	missense	in	SL258				
KPN_RS16775	enolase C-terminal domain-like protein	enolase C-terminal domain-like protein	3434270.0	False	False	False	False						True	0.477	1.0387521243975903	missense	in	SL258				
KPN_RS20890	alpha%2Calpha-trehalase	alpha%2Calpha-trehalase	4229476.0	False	False	False	False						True	0.477	1.0387521243975903	missense	in	SL258				
KPN_RS00065	DUF2541 family protein	DUF2541 family protein	13236.0	False	False	False	False						True	0.464	0.9913507511004016	noncoding	intergenic	SL258				
KPN_RS08870	YbfB/YjiJ family MFS transporter	YbfB/YjiJ family MFS transporter	1826350.0	False	False	False	False						True	0.465	0.9786604012048196	missense	in	SL258				
KPN_RS16015	fimbria/pilus outer membrane usher protein	fimbria/pilus outer membrane usher protein	3286819.0	False	False	False	False						True	0.465	0.9786604012048196	missense	in	SL258				
KPN_RS00155	oxalacetate decarboxylase subunit beta	oxalacetate decarboxylase subunit beta	31081.0	False	False	False	True	-0.413	0.9589101473253012	synonymous	in		False									
KPN_RS30715	IS3-like element ISKpn1 family transposase	IS3-like element ISKpn1 family transposase	4950011.0	False	True	False	False						True	0.194	0.95138593373494	noncoding	intergenic	SL307				
KPN_RS20830	NAD(P)/FAD-dependent oxidoreductase	NAD(P)/FAD-dependent oxidoreductase	4214898.0	False	False	False	False						True	0.427	0.9395435337349396	noncoding	intergenic	SL258				
KPN_RS25805	5-carboxymethyl-2-hydroxymuconate Delta-isomerase	5-carboxymethyl-2-hydroxymuconate Delta-isomerase	5244432.0	False	False	False	True	-0.449	0.9282908311004016	noncoding	intergenic	other	False									
KPN_RS05140	ompK35	porin OmpK35	1080613.0	False	False	False	False						True	0.422	0.9176689975903614	LoF	in	SL258	resp_vs_rest	LoF-specific	1.26	0.92
KPN_RS24280	parM	plasmid segregation protein ParM domain-containing protein	4933315.0	False	True	False	False						True	0.45	0.9006419277108435	noncoding	intergenic	SL258				
KPN_RS20665	IS110-like element IS5075 family transposase	IS110-like element IS5075 family transposase	4180401.0	False	True	False	True	-0.127	0.8617420257028113	synonymous	in	other	False									
KPN_RS11695	hypothetical protein	hypothetical protein	2378393.0	False	False	False	True	0.0965	0.8462703530120482	noncoding	intergenic		False									
KPN_RS15635	16S ribosomal RNA	16S ribosomal RNA	3204468.0	False	False	False	False						True	-0.0915	0.8377596135542169	noncoding	intergenic	other				
KPN_RS03205	transketolase family protein	transketolase family protein	670877.0	False	False	False	False						True	-0.0901	0.8149797388554216	synonymous	in					
KPN_RS18190	mutY	A/G-specific adenine glycosylase	3713807.0	False	False	False	True	-0.362	0.7979916485783133	synonymous	in	other	False									
KPN_RS03210	transketolase	transketolase	671019.0	False	False	False	False						True	0.104	0.7692825702811245	synonymous	in	other				
KPN_RS31050	hypothetical protein	hypothetical protein	579230.0	False	False	False	True	-0.267	0.7629709519518074	noncoding	intergenic	other	False									
KPN_RS04110	oadA	sodium-extruding oxaloacetate decarboxylase subunit alpha	851458.0	False	False	False	True	-0.228	0.7535331325301206	synonymous	in	other	False									
KPN_RS12740	tellurite resistance TerB family protein	tellurite resistance TerB family protein	2586535.0	False	False	False	True	-0.261	0.7445707373493976	synonymous	in	other	False									
KPN_RS32715	hypothetical protein	hypothetical protein	1985117.0	False	False	False	False						True	-0.25	0.7209799196787149	missense	in	other				
KPN_RS23405	16S ribosomal RNA	16S ribosomal RNA	4755050.0	False	False	False	True	-0.222	0.7107328769638553	noncoding	intergenic	other	False									
KPN_RS25600	rrf	5S ribosomal RNA	5203349.0	False	False	False	False						True	0.18	0.6959508289156626	noncoding	intergenic	SL258				
KPN_RS06370	glutathione peroxidase	glutathione peroxidase	1339792.0	False	False	False	True	-0.385	0.6767007003012049	missense	in	other	False									
KPN_RS14685	sensor histidine kinase	sensor histidine kinase	3007860.0	True	False	False	False						True	-0.276	0.675771062746988	missense	in					
KPN_RS13940	cirA	catecholate siderophore receptor CirA	2846807.0	False	False	False	False						True	-0.274	0.6717691936385545	noncoding	intergenic					
KPN_RS03125	ABC transporter ATP-binding protein	ABC transporter ATP-binding protein	651158.0	False	False	False	True	-0.0862	0.6482656044819277	noncoding	intergenic		False									
KPN_RS22930	btuB	TonB-dependent vitamin B12 receptor BtuB	4661975.0	False	False	False	True	-0.0798	0.5637019697349396	missense	in	other	True	0.1	0.4864216867469881	synonymous	in	other				
KPN_RS13460	rfbB	dTDP-glucose 4%2C6-dehydratase	2725640.0	False	False	False	True	-0.126	0.5548713644819278	synonymous	in	other	False									
KPN_RS13415	rfbA	glucose-1-phosphate thymidylyltransferase RfbA	2717723.0	False	False	False	False						True	0.176	0.4971226278554216	synonymous	in					
KPN_RS07585	phage minor head protein	phage minor head protein	1573909.0	False	True	False	False						True	0.17	0.447821865060241	synonymous	in	other				
KPN_RS18270	pyridoxal-phosphate dependent enzyme	pyridoxal-phosphate dependent enzyme	3733558.0	False	False	False	True	-0.0842	0.4274967502650602	noncoding	intergenic	SL14	False									
KPN_RS12170	formylglycine-generating enzyme family protein	formylglycine-generating enzyme family protein	2475230.0	False	False	False	True	-0.079	0.4244481542168674	missense	in	SL147	False									
KPN_RS04295	amino acid permease	amino acid permease	891476.0	False	False	False	True	-0.101	0.4042668590361447	noncoding	intergenic		False									
KPN_RS28875	helix-turn-helix domain-containing protein	helix-turn-helix domain-containing protein	1894426.0	True	False	False	False						True	0.207	0.3751904902771084	noncoding	intergenic					
KPN_RS22960	rrf	5S ribosomal RNA	4668369.0	False	False	False	True	0.155	0.3580597232931727	noncoding	intergenic	other	False									
KPN_RS13445	rfbC	dTDP-4-dehydrorhamnose 3%2C5-epimerase	2723437.0	False	False	False	True	-0.215	0.3513751605421686	synonymous	in	other	False									
KPN_RS09520	hpxZ	oxalurate catabolism protein HpxZ	1953553.0	False	False	False	True	0.163	0.3395026300040161	noncoding	intergenic		False									
KPN_RS12555	CoA pyrophosphatase	CoA pyrophosphatase	2551137.0	False	False	False	True	-0.273	0.3373272333975904	missense	in	SL17	False									
KPN_RS03565	ybeD	DUF493 family protein YbeD	750969.0	False	False	False	True	-0.273	0.3344020449759036	noncoding	intergenic	SL307	False									
KPN_RS21250	alpha-amylase	alpha-amylase	4315052.0	False	False	False	True	-0.273	0.3344020449759036	synonymous	in		False									
KPN_RS10920	LysR family transcriptional regulator	LysR family transcriptional regulator	2221069.0	True	False	False	True	-0.271	0.3266372533975904	missense	in	SL17	False									
KPN_RS10085	catA	catechol 1%2C2-dioxygenase	2064253.0	False	False	False	True	-0.268	0.3222650576064257	missense	in	SL17	False									
KPN_RS13455	rfbA	glucose-1-phosphate thymidylyltransferase RfbA	2725057.0	False	False	False	False						True	0.263	0.3130672276144579	synonymous	in					
KPN_RS07485	DNA cytosine methyltransferase	DNA cytosine methyltransferase	1558110.0	False	True	False	True	-0.217	0.2922451134096385	synonymous	in		False						resp_vs_rest	mixed/weak	1.37	1.16
KPN_RS00215	carA	carA		False	False	False	False						False						resp_vs_rest	LoF-specific	0.89	0.9
KPN_RS00220	carB	carB		False	False	False	False						False						resp_vs_rest	LoF-specific	1.08	1.05
KPN_RS03010	RamA family antibiotic efflux transcriptional regulator	RamA family antibiotic efflux transcriptional regulator		True	False	False	False						False						respiratory_vs_faeces	functional(non-syn)	1.8	1.07
KPN_RS05155	type I restriction endonuclease subunit R	type I restriction endonuclease subunit R		False	True	False	False						False						resp_vs_rest	density/clade	1.71	1.46
KPN_RS06070	phoQ	phoQ		True	False	False	False						False						respiratory_vs_faeces	functional(non-syn)	1.77	1.0
KPN_RS06690	SDR family NAD(P)-dependent oxidoreductase	SDR family NAD(P)-dependent oxidoreductase		False	False	False	False						False						resp_vs_rest	functional(non-syn)	1.55	0.83
KPN_RS07715	Y-family DNA polymerase	Y-family DNA polymerase		False	False	False	False						False						resp_vs_rest	density/clade	1.15	1.32
KPN_RS10500	membrane-bound PQQ-dependent dehydrogenase, glucose/quinate/shikimate family	membrane-bound PQQ-dependent dehydrogenase, glucose/quinate/shikimate family		False	False	False	False						False						resp_vs_rest	functional(non-syn)	1.31	0.7
KPN_RS11535	sufB	sufB		False	False	False	False						False						blood_vs_faeces	functional(non-syn)	1.51	0.94
KPN_RS13440	ugd	ugd		False	False	False	False						False						resp_vs_rest	density/clade	1.13	1.31
KPN_RS13465	gndA	gndA		False	False	False	False						False						resp_vs_rest	density/clade	1.41	1.41
KPN_RS13510	polysaccharide export protein	polysaccharide export protein		False	True	False	False						False						resp_vs_rest	density/clade	1.35	1.42
KPN_RS13865	bglF	bglF		False	False	False	False						False						resp_vs_rest	functional(non-syn)	1.35	0.78
KPN_RS15845	Gfo/Idh/MocA family protein	Gfo/Idh/MocA family protein		False	False	False	False						False						resp_vs_rest	functional(non-syn)	1.7	1.0
KPN_RS18430	qseC	qseC		True	False	False	False						False						resp_vs_rest	functional(non-syn)	1.44	0.94
KPN_RS18670	phage tail sheath protein	phage tail sheath protein		False	True	False	False						False						resp_vs_rest	mixed/weak	1.1	1.22
KPN_RS18770	phage portal protein	phage portal protein		False	True	False	False						False						resp_vs_rest	mixed/weak	1.34	1.24
KPN_RS18795	replication endonuclease	replication endonuclease		False	True	False	False						False						resp_vs_rest	mixed/weak	1.26	1.21
KPN_RS22205	hypothetical protein	hypothetical protein		False	False	False	False						False						resp_vs_rest	mixed/weak	inf	7.15
KPN_RS24465	peptidase domain-containing ABC transporter	peptidase domain-containing ABC transporter		False	False	False	False						False						resp_vs_rest	mixed/weak	1.0	1.3
KPN_RS29045	mgrB	mgrB		True	False	False	False						False						respiratory_vs_faeces	functional(non-syn)	2.09	0.75
