config,mean,ingredient,gene,auroc,delta_vs_its_mean,drug
ft_mean_only,ft_mean,none,,0.9265066144047036,0.0,aztreonam
ft_mean+esm_gene,ft_mean,esm,ParC,0.917547420732134,-0.0089591936725695,aztreonam
ft_mean+frozen_bac_gene,ft_mean,frozen_bac,PmrB,0.930006299433051,0.0034996850283474,aztreonam
ft_mean+ft_bac_gene,ft_mean,ft_bac,ParC,0.9447983014861996,0.0182916870814959,aztreonam
frozen_mean_only,frozen_mean,none,,0.9358565906291152,0.0,cefazolin
frozen_mean+esm_gene,frozen_mean,esm,GyrA,0.9381504608980076,0.0022938702688923,cefazolin
frozen_mean+frozen_bac_gene,frozen_mean,frozen_bac,OmpK35,0.953697803831613,0.0178412132024977,cefazolin
frozen_mean+ft_bac_gene,frozen_mean,ft_bac,OmpK35,0.9974937343358397,0.0616371437067244,cefazolin
ft_mean_only,ft_mean,none,,0.986789006414341,0.0,cefazolin
ft_mean+esm_gene,ft_mean,esm,GyrA,0.9867465273352872,-4.247907905363668e-05,cefazolin
ft_mean+frozen_bac_gene,ft_mean,frozen_bac,OmpK35,0.998045962363536,0.0112569559491949,cefazolin
ft_mean+ft_bac_gene,ft_mean,ft_bac,OmpK35,0.9939467312348668,0.0071577248205259,cefazolin
frozen_mean_only,frozen_mean,none,,0.8193948505919939,0.0,cefepime
frozen_mean+esm_gene,frozen_mean,esm,OmpK36,0.8223266303326443,0.0029317797406503,cefepime
frozen_mean+frozen_bac_gene,frozen_mean,frozen_bac,OmpK35,0.8445592933659087,0.0251644427739148,cefepime
frozen_mean+ft_bac_gene,frozen_mean,ft_bac,OmpK36,0.9375117459124224,0.1181168953204285,cefepime
ft_mean_only,ft_mean,none,,0.952076677316294,0.0,cefepime
ft_mean+esm_gene,ft_mean,esm,OmpK36,0.9475286600263108,-0.0045480172899831,cefepime
ft_mean+frozen_bac_gene,ft_mean,frozen_bac,OmpK35,0.9465514001127606,-0.0055252772035333,cefepime
ft_mean+ft_bac_gene,ft_mean,ft_bac,OmpK36,0.9442210110881414,-0.0078556662281525,cefepime
frozen_mean_only,frozen_mean,none,,0.9350859453993932,0.0,cefotaxime
frozen_mean+esm_gene,frozen_mean,esm,AAC(6'),0.9540950455005056,0.0190091001011122,cefotaxime
frozen_mean+frozen_bac_gene,frozen_mean,frozen_bac,OmpK35,0.9501661129568107,0.0150801675574174,cefotaxime
frozen_mean+ft_bac_gene,frozen_mean,ft_bac,PmrB,0.9856420626895854,0.0505561172901921,cefotaxime
ft_mean_only,ft_mean,none,,0.9898309981222012,0.0,cefotaxime
ft_mean+esm_gene,ft_mean,esm,AAC(6'),0.9903221146901632,0.0004911165679618,cefotaxime
ft_mean+frozen_bac_gene,ft_mean,frozen_bac,OmpK35,0.9932399248880543,0.003408926765853,cefotaxime
ft_mean+ft_bac_gene,ft_mean,ft_bac,PmrB,0.994164379604218,0.0043333814820165,cefotaxime
frozen_mean_only,frozen_mean,none,,0.8257973578022222,0.0,cefoxitin
frozen_mean+esm_gene,frozen_mean,esm,OmpK36,0.863799679398596,0.0380023215963738,cefoxitin
frozen_mean+frozen_bac_gene,frozen_mean,frozen_bac,OmpK36,0.8605660273063955,0.0347686695041733,cefoxitin
frozen_mean+ft_bac_gene,frozen_mean,ft_bac,OmpK35,0.9787463379581008,0.1529489801558785,cefoxitin
ft_mean_only,ft_mean,none,,0.979147089713117,0.0,cefoxitin
ft_mean+esm_gene,ft_mean,esm,OmpK36,0.9848681664916256,0.0057210767785086,cefoxitin
ft_mean+frozen_bac_gene,ft_mean,frozen_bac,OmpK36,0.9815101431651096,0.0023630534519926,cefoxitin
ft_mean+ft_bac_gene,ft_mean,ft_bac,OmpK35,0.9828644077165442,0.0037173180034271,cefoxitin
frozen_mean_only,frozen_mean,none,,0.9531876660242722,0.0,ceftazidime
frozen_mean+esm_gene,frozen_mean,esm,GyrA,0.9568857753007968,0.0036981092765245,ceftazidime
frozen_mean+frozen_bac_gene,frozen_mean,frozen_bac,ParC,0.9511367779571852,-0.0020508880670868,ceftazidime
frozen_mean+ft_bac_gene,frozen_mean,ft_bac,OmpK36,0.9980011979790616,0.0448135319547893,ceftazidime
ft_mean_only,ft_mean,none,,0.9920438564508568,0.0,ceftazidime
ft_mean+esm_gene,ft_mean,esm,GyrA,0.9903185061721964,-0.0017253502786603,ceftazidime
ft_mean+frozen_bac_gene,ft_mean,frozen_bac,ParC,0.9962498046773268,0.0042059482264701,ceftazidime
ft_mean+ft_bac_gene,ft_mean,ft_bac,OmpK36,0.9971027136830044,0.0050588572321476,ceftazidime
frozen_mean_only,frozen_mean,none,,0.9625766871165644,0.0,ceftriaxone
frozen_mean+esm_gene,frozen_mean,esm,GyrA,0.9632320133853876,0.0006553262688232,ceftriaxone
frozen_mean+frozen_bac_gene,frozen_mean,frozen_bac,OmpK35,0.965574456218628,0.0029977691020636,ceftriaxone
frozen_mean+ft_bac_gene,frozen_mean,ft_bac,OmpK35,0.9888733965421084,0.0262967094255438,ceftriaxone
ft_mean_only,ft_mean,none,,0.9882320133853876,0.0,ceftriaxone
ft_mean+esm_gene,ft_mean,esm,GyrA,0.9819297267150028,-0.0063022866703849,ceftriaxone
ft_mean+frozen_bac_gene,ft_mean,frozen_bac,OmpK35,0.9911042944785275,0.0028722810931398,ceftriaxone
ft_mean+ft_bac_gene,ft_mean,ft_bac,OmpK35,0.9893614054657,0.0011293920803123,ceftriaxone
frozen_mean_only,frozen_mean,none,,0.8948019164391324,0.0,cefuroxime
frozen_mean+esm_gene,frozen_mean,esm,GyrA,0.944619030446654,0.0498171140075215,cefuroxime
frozen_mean+frozen_bac_gene,frozen_mean,frozen_bac,GyrA,0.9238060893307918,0.0290041728916593,cefuroxime
frozen_mean+ft_bac_gene,frozen_mean,ft_bac,PmrB,0.9965483488743496,0.101746432435217,cefuroxime
ft_mean_only,ft_mean,none,,0.9961877286074906,0.0,cefuroxime
ft_mean+esm_gene,ft_mean,esm,GyrA,0.9963422801504302,0.0001545515429396,cefuroxime
ft_mean+frozen_bac_gene,ft_mean,frozen_bac,GyrA,0.9957755911596516,-0.0004121374478389,cefuroxime
ft_mean+ft_bac_gene,ft_mean,ft_bac,PmrB,0.9970635206841482,0.0008757920766575,cefuroxime
frozen_mean_only,frozen_mean,none,,0.9379475298228248,0.0,ciprofloxacin
frozen_mean+esm_gene,frozen_mean,esm,GyrA,0.9653297943331008,0.027382264510276,ciprofloxacin
frozen_mean+frozen_bac_gene,frozen_mean,frozen_bac,ParC,0.9536181028859346,0.0156705730631098,ciprofloxacin
frozen_mean+ft_bac_gene,frozen_mean,ft_bac,GyrA,0.984524371864948,0.0465768420421233,ciprofloxacin
ft_mean_only,ft_mean,none,,0.986743744892068,0.0,ciprofloxacin
ft_mean+esm_gene,ft_mean,esm,GyrA,0.9881233551521694,0.0013796102601014,ciprofloxacin
ft_mean+frozen_bac_gene,ft_mean,frozen_bac,ParC,0.9860089524709268,-0.000734792421141,ciprofloxacin
ft_mean+ft_bac_gene,ft_mean,ft_bac,GyrA,0.9862713783356202,-0.0004723665564477,ciprofloxacin
frozen_mean_only,frozen_mean,none,,0.7409756097560974,0.0,colistin
frozen_mean+esm_gene,frozen_mean,esm,OmpK36,0.7873867595818815,0.046411149825784,colistin
frozen_mean+frozen_bac_gene,frozen_mean,frozen_bac,OmpK36,0.7643205574912892,0.0233449477351918,colistin
frozen_mean+ft_bac_gene,frozen_mean,ft_bac,GyrA,0.9365853658536586,0.1956097560975611,colistin
ft_mean_only,ft_mean,none,,0.9160975609756096,0.0,colistin
ft_mean+esm_gene,ft_mean,esm,OmpK36,0.931219512195122,0.0151219512195123,colistin
ft_mean+frozen_bac_gene,ft_mean,frozen_bac,OmpK36,0.9266898954703832,0.0105923344947735,colistin
ft_mean+ft_bac_gene,ft_mean,ft_bac,GyrA,0.9345644599303136,0.0184668989547038,colistin
frozen_mean_only,frozen_mean,none,,0.9253435114503816,0.0,ertapenem
frozen_mean+esm_gene,frozen_mean,esm,OmpK36,0.9452671755725192,0.0199236641221374,ertapenem
frozen_mean+frozen_bac_gene,frozen_mean,frozen_bac,OmpK36,0.9420101781170483,0.0166666666666666,ertapenem
frozen_mean+ft_bac_gene,frozen_mean,ft_bac,OmpK36,0.9935623409669212,0.0682188295165394,ertapenem
ft_mean_only,ft_mean,none,,0.9930025445292622,0.0,ertapenem
ft_mean+esm_gene,ft_mean,esm,OmpK36,0.9932061068702288,0.0002035623409667,ertapenem
ft_mean+frozen_bac_gene,ft_mean,frozen_bac,OmpK36,0.9947837150127228,0.0017811704834606,ertapenem
ft_mean+ft_bac_gene,ft_mean,ft_bac,OmpK36,0.9959796437659032,0.002977099236641,ertapenem
frozen_mean_only,frozen_mean,none,,0.8738201825960393,0.0,gentamicin
frozen_mean+esm_gene,frozen_mean,esm,AAC(3),0.9529616724738676,0.0791414898778282,gentamicin
frozen_mean+frozen_bac_gene,frozen_mean,frozen_bac,AAC(3),0.9583811141004718,0.0845609315044324,gentamicin
frozen_mean+ft_bac_gene,frozen_mean,ft_bac,PmrB,0.988080536320734,0.1142603537246945,gentamicin
ft_mean_only,ft_mean,none,,0.9831572795836456,0.0,gentamicin
ft_mean+esm_gene,ft_mean,esm,AAC(3),0.98117805319102,-0.0019792263926257,gentamicin
ft_mean+frozen_bac_gene,ft_mean,frozen_bac,AAC(3),0.9815970537643892,-0.0015602258192564,gentamicin
ft_mean+ft_bac_gene,ft_mean,ft_bac,PmrB,0.9880474573280996,0.0048901777444537,gentamicin
frozen_mean_only,frozen_mean,none,,0.8956817176631419,0.0,imipenem
frozen_mean+esm_gene,frozen_mean,esm,KPC,0.9492179646978408,0.053536247034699,imipenem
frozen_mean+frozen_bac_gene,frozen_mean,frozen_bac,KPC,0.9526154959591492,0.0569337782960073,imipenem
frozen_mean+ft_bac_gene,frozen_mean,ft_bac,GyrA,0.99123477142053,0.0955530537573881,imipenem
ft_mean_only,ft_mean,none,,0.9837963893691448,0.0,imipenem
ft_mean+esm_gene,ft_mean,esm,KPC,0.982931928752362,-0.0008644606167826,imipenem
ft_mean+frozen_bac_gene,ft_mean,frozen_bac,KPC,0.9877367214828516,0.0039403321137067,imipenem
ft_mean+ft_bac_gene,ft_mean,ft_bac,GyrA,0.987133609424631,0.0033372200554862,imipenem
frozen_mean_only,frozen_mean,none,,0.9317410868812738,0.0,levofloxacin
frozen_mean+esm_gene,frozen_mean,esm,ParC,0.9517826237452404,0.0200415368639667,levofloxacin
frozen_mean+frozen_bac_gene,frozen_mean,frozen_bac,ParC,0.95122879889235,0.0194877120110763,levofloxacin
frozen_mean+ft_bac_gene,frozen_mean,ft_bac,GyrA,0.9548286604361372,0.0230875735548633,levofloxacin
ft_mean_only,ft_mean,none,,0.9550017307026653,0.0,levofloxacin
ft_mean+esm_gene,ft_mean,esm,ParC,0.9600899965385948,0.0050882658359294,levofloxacin
ft_mean+frozen_bac_gene,ft_mean,frozen_bac,ParC,0.9576670128071996,0.0026652821045344,levofloxacin
ft_mean+ft_bac_gene,ft_mean,ft_bac,GyrA,0.9695050190377292,0.014503288335064,levofloxacin
frozen_mean_only,frozen_mean,none,,0.9313018358028144,0.0,meropenem
frozen_mean+esm_gene,frozen_mean,esm,KPC,0.946665424160532,0.0153635883577175,meropenem
frozen_mean+frozen_bac_gene,frozen_mean,frozen_bac,OmpK36,0.9426707669369117,0.0113689311340973,meropenem
frozen_mean+ft_bac_gene,frozen_mean,ft_bac,PmrB,0.992315099555804,0.0610132637529896,meropenem
ft_mean_only,ft_mean,none,,0.9874072003230516,0.0,meropenem
ft_mean+esm_gene,ft_mean,esm,KPC,0.9875252384058648,0.0001180380828131,meropenem
ft_mean+frozen_bac_gene,ft_mean,frozen_bac,OmpK36,0.9824744509676016,-0.0049327493554498,meropenem
ft_mean+ft_bac_gene,ft_mean,ft_bac,PmrB,0.9885068182524152,0.0010996179293636,meropenem
frozen_mean_only,frozen_mean,none,,0.8974656977793826,0.0,piperacillin-tazobactam
frozen_mean+esm_gene,frozen_mean,esm,ParC,0.8926927243184689,-0.0047729734609136,piperacillin-tazobactam
frozen_mean+frozen_bac_gene,frozen_mean,frozen_bac,OmpK36,0.8902441776493952,-0.0072215201299873,piperacillin-tazobactam
frozen_mean+ft_bac_gene,frozen_mean,ft_bac,OmpK36,0.9727951796353131,0.0753294818559305,piperacillin-tazobactam
ft_mean_only,ft_mean,none,,0.963542606968767,0.0,piperacillin-tazobactam
ft_mean+esm_gene,ft_mean,esm,ParC,0.960563729915147,-0.0029788770536199,piperacillin-tazobactam
ft_mean+frozen_bac_gene,ft_mean,frozen_bac,OmpK36,0.96718721790937,0.0036446109406028,piperacillin-tazobactam
ft_mean+ft_bac_gene,ft_mean,ft_bac,OmpK36,0.9723099837515798,0.0087673767828128,piperacillin-tazobactam
frozen_mean_only,frozen_mean,none,,0.7352976987702424,0.0,tetracycline
frozen_mean+esm_gene,frozen_mean,esm,TetA,0.8382138073785462,0.1029161086083038,tetracycline
frozen_mean+frozen_bac_gene,frozen_mean,frozen_bac,TetA,0.8362047972726165,0.1009070985023741,tetracycline
frozen_mean+ft_bac_gene,frozen_mean,ft_bac,PmrB,0.940612443686838,0.2053147449165955,tetracycline
ft_mean_only,ft_mean,none,,0.9319371727748692,0.0,tetracycline
ft_mean+esm_gene,ft_mean,esm,TetA,0.9325764032631194,0.0006392304882503,tetracycline
ft_mean+frozen_bac_gene,ft_mean,frozen_bac,TetA,0.9308413490807256,-0.0010958236941434,tetracycline
ft_mean+ft_bac_gene,ft_mean,ft_bac,PmrB,0.9469134299281626,0.0149762571532935,tetracycline
frozen_mean_only,frozen_mean,none,,0.8528720799417643,0.0,tobramycin
frozen_mean+esm_gene,frozen_mean,esm,AAC(6'),0.9239130434782608,0.0710409635364965,tobramycin
frozen_mean+frozen_bac_gene,frozen_mean,frozen_bac,AAC(6'),0.9452385679306466,0.0923664879888823,tobramycin
frozen_mean+ft_bac_gene,frozen_mean,ft_bac,PmrB,0.9613692012441268,0.1084971213023624,tobramycin
ft_mean_only,ft_mean,none,,0.9606247104758124,0.0,tobramycin
ft_mean+esm_gene,ft_mean,esm,AAC(6'),0.9635695850704784,0.0029448745946659,tobramycin
ft_mean+frozen_bac_gene,ft_mean,frozen_bac,AAC(6'),0.9699391171993912,0.0093144067235787,tobramycin
ft_mean+ft_bac_gene,ft_mean,ft_bac,PmrB,0.9664151942293694,0.0057904837535569,tobramycin
frozen_mean_only,frozen_mean,none,,0.8918277213256294,0.0,trimethoprim-sulfamethoxazole
frozen_mean+esm_gene,frozen_mean,esm,Sul,0.9132629341834364,0.021435212857807,trimethoprim-sulfamethoxazole
frozen_mean+frozen_bac_gene,frozen_mean,frozen_bac,Sul,0.932954771866906,0.0411270505412765,trimethoprim-sulfamethoxazole
frozen_mean+ft_bac_gene,frozen_mean,ft_bac,PmrB,0.978456863917115,0.0866291425914855,trimethoprim-sulfamethoxazole
ft_mean_only,ft_mean,none,,0.9789549711097828,0.0,trimethoprim-sulfamethoxazole
ft_mean+esm_gene,ft_mean,esm,Sul,0.9775187620375904,-0.0014362090721923,trimethoprim-sulfamethoxazole
ft_mean+frozen_bac_gene,ft_mean,frozen_bac,Sul,0.97868931394036,-0.0002656571694229,trimethoprim-sulfamethoxazole
ft_mean+ft_bac_gene,ft_mean,ft_bac,PmrB,0.9803330676761638,0.0013780965663809,trimethoprim-sulfamethoxazole
